0ad-dbg 0.0.16-2~ubuntu14.04.1
7kaa-dbg 2.14.4-1
abiword-dbg 3.0.0-4ubuntu1.1
acpitool-dbg 0.5.1-3
afflib-dbg 3.6.6-1.1
afterstep-dbg 2.2.12-2
ahven-dbg 2.1-4
akonadi-dbg 1.12.1-0ubuntu1.1
aliki-dbg 0.3.0-1
alpine-dbg 2.10+dfsg-1
amarok-dbg 2:2.8.0-0ubuntu3
amavisd-milter-dbg 1.5.0-5
animals-dbg 201207131226-1build1
anjuta-dbg 2:3.10.2-0ubuntu2
apache2-dbg 2.4.7-1ubuntu4.4
apper-dbg 0.8.1-1
apt-dater-dbg 0.9.0-7
aptitude-dbg 0.6.8.2-1ubuntu4
argyll-dbg 1.5.1-5ubuntu1
ark-dbg 4:4.13.3-0ubuntu0.1
asterisk-dbg 1:11.7.0~dfsg-1ubuntu1
at-spi2-core-dbg 2.10.2.is.2.10.1-0ubuntu1
audacious-dbg 3.4.3-1
audacious-plugins-dbg 3.4.3-2
audacity-dbg 2.0.5-1ubuntu3.2
aufs-tools-dbg 1:3.2+20130722-1.1
augeas-dbg 1.2.0-0ubuntu1.1
avahi-dbg 0.6.31-4ubuntu1
axel-dbg 2.4-1
bacula-common-dbg 5.2.6+dfsg-9.1ubuntu3
bacula-common-mysql-dbg 5.2.6+dfsg-9.1ubuntu3
bacula-common-pgsql-dbg 5.2.6+dfsg-9.1ubuntu3
bacula-common-sqlite3-dbg 5.2.6+dfsg-9.1ubuntu3
bacula-console-dbg 5.2.6+dfsg-9.1ubuntu3
bacula-console-qt-dbg 5.2.6+dfsg-9.1ubuntu3
bacula-director-common-dbg 5.2.6+dfsg-9.1ubuntu3
bacula-director-mysql-dbg 5.2.6+dfsg-9.1ubuntu3
bacula-director-pgsql-dbg 5.2.6+dfsg-9.1ubuntu3
bacula-director-sqlite3-dbg 5.2.6+dfsg-9.1ubuntu3
bacula-fd-dbg 5.2.6+dfsg-9.1ubuntu3
bacula-sd-dbg 5.2.6+dfsg-9.1ubuntu3
bacula-sd-mysql-dbg 5.2.6+dfsg-9.1ubuntu3
bacula-sd-pgsql-dbg 5.2.6+dfsg-9.1ubuntu3
bacula-sd-sqlite3-dbg 5.2.6+dfsg-9.1ubuntu3
bacula-traymonitor-dbg 5.2.6+dfsg-9.1ubuntu3
ballview-dbg 5.2.6+dfsg-9.1ubuntu3
ballz-dbg 1.0.2-1build2
balsa-dbg 2.4.12-1
bamf-dbg 0.5.1+14.04.20140409-0ubuntu1
banshee-dbg 2.9.0+really2.6.2-2ubuntu2.1
barcode-dbg 0.98+debian-9
barry-util-dbg 0.18.5-1
barrybackup-gui-dbg 0.18.5-1
barrydesktop-dbg 0.18.5-1
batctl-dbg 2013.4.0-2
batmand-dbg 0.3.2-14
bino-dbg 1.4.4-1build1
bird-dbg 1.4.0-1
blender-dbg 2.69-4ubuntu2
bluefish-dbg 2.2.5-1
bluez-dbg 4.101-0ubuntu13.1
boinc-dbg 7.2.42+dfsg-1
botan1.10-dbg 1.10.5-1ubuntu1
brltty-dbg 5.0-2ubuntu2
brp-pacu-dbg 2.1.1+git20111020-4
btrfs-tools-dbg 3.12-1
burp-dbg 1.3.48-4
calligra-dbg 1:2.8.1-1-0ubuntu3
cantor-dbg 4:4.13.3-0ubuntu0.1
cdcd-dbg 0.6.6-13.1
cdparanoia-dbg 3.10.2+debian-11
cfengine2-dbg 2.2.10-5build1
cfengine3-dbg 3.2.4-2+nmu1build1
chromium-browser-dbg 41.0.2272.76-0ubuntu0.14.04.1.1076
chromium-dbg 41.0.2272.76-0ubuntu0.14.04.1.1076
citadel-dbg 8.24-1
clamav-dbg 0.98.6+dfsg-0ubuntu0.14.04.1
claws-mail-dbg 3.9.3-1ubuntu1
claws-mail-extra-plugins-dbg 3.9.3-1ubuntu1
clzip-dbg 1.4-2
cmake-dbg 2.8.12.2-0ubuntu3
codeblocks-dbg 13.12-3
coinor-csdp-dbg 6.1.1-1
coinor-libcbc0-dbg 6.1.1-1
coinor-libcgl0-dbg 6.1.1-1
coinor-libclp0-dbg 6.1.1-1
coinor-libcoinutils0-dbg 6.1.1-1
coinor-libdylp0-dbg 1.6.0-1.1ubuntu2
coinor-libflopc++0-dbg 1.0.6-3.1ubuntu1
coinor-libipopt1-dbg 3.11.4-1build1
coinor-libosi0-dbg 3.11.4-1build1
coinor-libsymphony0-dbg 3.11.4-1build1
coinor-libvol0-dbg 1.1.7-1
collectd-dbg 5.4.0-3ubuntu2
composite-dbg 0.006.2+dfsg0-3
condor-dbg 0.006.2+dfsg0-3
corosync-dbg 2.3.3-1ubuntu1
ctdb-dbg 2.5.1+debian0-1
cube2font-dbg 1.3.1-2
cwiid-dbg 0.6.00+svn201-3.1
cyrus-sasl2-dbg 2.1.25.dfsg1-17build1
cyrus-sasl2-heimdal-dbg 2.1.25.dfsg1-17build1
cyrus-sasl2-mit-dbg 2.1.25.dfsg1-17build1
cytadela-dbg 1.1.0-1
cython-dbg 0.20.1+git90-g0e6e38e-1ubuntu2
daisy-player-dbg 8.5.1-1
darkplaces-dbg 0~20130304+svn11952-2
darktable-dbg 1.4-2
dbus-1-dbg 1.6.18-0ubuntu4.3
dcap-dbg 2.47.8-2
debconf-kde-dbg 0.3-1
deja-dup-dbg 0.3-1
digikam-dbg 4:3.5.0-0ubuntu10
djvulibre-dbg 3.5.25.4-3
dmidecode-dbg 2.12-2
dmtcp-dbg 1.2.5-1ubuntu2
doodle-dbg 0.7.0-8
dosfstools-dbg 3.0.26-1
dovecot-dbg 1:2.2.9-1ubuntu2.1
drizzle-dbg 1:7.2.3-2ubuntu2
dspam-dbg 3.10.2+dfsg-13
dssp-dbg 2.2.1-1
dsyslog-dbg 0.6.0build2
dvd+rw-tools-dbg 7.1-10build1
dvdbackup-dbg 0.4.2-4
e-uae-dbg 0.4.2-4
easymp3gain-gtk-dbg 0.4.2-4
ebook-speaker-dbg 2.7.1-1
ebook-tools-dbg 0.2.2-2ubuntu1
ecryptfs-utils-dbg 104-0ubuntu1.14.04.3
eiskaltdcpp-daemon-dbg 2.2.9-3
eiskaltdcpp-gtk-dbg 2.2.9-3
eiskaltdcpp-qt-dbg 2.2.9-3
ekg2-dbg 1:0.3.1-4
ekiga-dbg 4.0.1-4
elmer-dbg 6.1.0.svn.5396.dfsg2-4ubuntu1
empathy-dbg 3.8.6-0ubuntu9.1
enna-dbg 3.8.6-0ubuntu9.1
eog-dbg 3.10.2-0ubuntu5
epiphany-browser-dbg 3.10.3-0ubuntu2
espeak-dbg 1.47.11-1ubuntu1
evince-dbg 3.10.3-0ubuntu10.2
evolution-data-server-dbg 3.10.4-0ubuntu1.5
evolution-dbg 3.10.4-0ubuntu2
evolution-exchange-dbg 3.10.4-0ubuntu2
evolution-mapi-dbg 3.10.2-0ubuntu3
exactimage-dbg 0.8.9-3build1
exim4-daemon-heavy-dbg 4.82-3ubuntu2
exim4-daemon-light-dbg 4.82-3ubuntu2
exim4-dbg 4.82-3ubuntu2
exo-utils-dbg 0.10.2-3ubuntu1.14.04.2
extremetuxracer-dbg 0.4-5ubuntu1
faad2-dbg 2.7-8
falconpl-dbg 0.9.6.9-git20120606-2
fatattr-dbg 1.0.1-11
fcitx-dbg 1:4.2.8.3-3
ffindex-dbg 0.9.9.3-1
ffmpegthumbnailer-dbg 2.0.8-2
firebird2.5-classic-dbg 2.5.2.26540.ds4-9ubuntu1
firebird2.5-super-dbg 2.5.2.26540.ds4-9ubuntu1
fish-dbg 2.0.0-1
fldigi-dbg 3.21.80-1
flwm-dbg 1.02+cvs20080422-10
fontforge-dbg 20120731.b-5
fosfat-dbg 0.4.0-4
foxtrotgps-dbg 1.1.1-5
fraqtive-dbg 0.4.6-3
freecraft-dbg 0.4.6-3
freedink-dfarc-dbg 3.10-1.1
freedink-engine-dbg 1.08.20120427-2.1ubuntu1
freegish-dbg 1.53+git20101011+dfsg-2
freeglut3-dbg 2.8.1-1
freeradius-dbg 2.1.12+dfsg-1.2ubuntu8
freerdp-dbg 1.0.2-2ubuntu1
fso-datad-dbg 0.12.0-1
