a56 1.3+dfsg-8
abi-compliance-checker 1.99.9-1
abicheck 1.2-5
ace-gperf 6.0.3+dfsg-0.2
ace-netsvcs 6.0.3+dfsg-0.2
adabrowse 4.0.3-5
adacontrol 1.12r4-3
adlint 3.2.0-1
aegis-tk 4.24.3-3
aegis-web 4.24.3-3
algol68g 2.4.1-1
alleyoop 0.9.8-1
anjuta-common 2:3.10.2-0ubuntu2
antlr 2.7.7+dfsg-5
antlr3 3.2.is.3.2-7ubuntu3
apcalc-dev 2.12.4.4-3
aplus-fsf-dev 4.22.1-6
apt-build 0.12.44
aroarfw-dev 0.1~beta5-1
as31 2.3.1-6
asis-programs 2010-6
aspectc++ 1:1.1+svn20120529-2
asterisk-dev 1:11.7.0~dfsg-1ubuntu1
astyle 2.04-0ubuntu1~ubuntu14.04.1
atfs 1.4pl6-11
atheist 0.20110402-2
ats-lang-anairiats 0.2.11-1
ats-lang-anairiats-examples 0.2.11-1
autoconf 2.69-6
autoconf-archive 20131101-1
autoconf-dickey 2.52+20121002-2
autoconf-gl-macros 20131101-1
autoconf2.13 2.13-62
autoconf2.59 2.59+dfsg-0.1
autoconf2.64 2.64-3
autodia 2.14-1
autogen 1:5.18-2ubuntu2
automake 1:1.14.1-2ubuntu1
automake1.10 1:1.10.3-3.1ubuntu1
automake1.4 1:1.4-p6-13.1
automake1.9 1.9.6+nogfdl-4ubuntu1
automoc 1.0~version-0.9.88-5build1
autopkgtest 2.14.1
autopkgtest-xenlvm 2.14.1
autopoint 0.18.3.1-1ubuntu3
autoproject 0.20-5
autotools-dev 20130810.1
babel-1.4.0 1.4.0.dfsg-8.2
bam 0.4.0-3
bashdb 4.2.0.8-1.1
basic256 0.9.6.69a-1
bcc 0.16.17-3.1ubuntu3
bcpp 0.0.20050725-3
beef 1.0.0-1
bf-utf-source 0.07
bicyclerepair 0.9-6.1
bin86 0.16.17-3.1ubuntu3
binutils 2.24-5ubuntu3.1
binutils-avr 2.23.1-2.1
binutils-dev 2.24-5ubuntu3.1
binutils-gold 2.24-5ubuntu3.1
binutils-h8300-hms 2.16.1-9ubuntu1
binutils-m68hc1x 1:2.18-3.3
binutils-mingw-w64 2.23.52.20130620-1ubuntu1+3build1
binutils-mingw-w64-i686 2.23.52.20130620-1ubuntu1+3build1
binutils-mingw-w64-x86-64 2.23.52.20130620-1ubuntu1+3build1
binutils-msp430 2.22~msp20120406-4
binutils-multiarch 2.24-5ubuntu3.1
binutils-source 2.24-5ubuntu3.1
binutils-spu 2.24-5ubuntu3.1
binutils-z80 2.23.52.20130612-1ubuntu1+3
biosquid-dev 1.9g+cvs20050121-3
bison 2:3.0.2.dfsg-2
bison++ 1.21.11-3.1
bisonc++ 4.05.00-1
blacs-pvm-dev 1.1-21
blacs-pvm-test 1.1-21
blends-dev 0.6.16.4ubuntu2
blktap-dev 2.0.90-2ubuntu1
blt-demo 2.4z-7ubuntu2
blt-dev 2.4z-7ubuntu2
bnfc 2.6.0.3-2
boa-constructor 0.6.1-12
boinc-dev 7.2.42+dfsg-1
boo 0.9.5~git20110729.r1.202a430-2
brickos 0.9.5~git20110729.r1.202a430-2
bsh 2.0b4-15
btyacc 3.0-5
build-essential 11.6ubuntu6
buildbot 0.8.8-1.1
buildbot-slave 0.8.8-1
buildd 0.64.1-1ubuntu4
byacc 20140101-1
byacc-j 1.15-1build2
c-cpp-reference 2.0.2-8
cableswig 0.1.0+cvs20111009-1.1
cairo-dock-dev 0.1.0+cvs20111009-1.1
caspar 20140106-1ubuntu2
catcodec 1.0.5-1
ccache 3.1.9-1
ccbuild 2.0.6-2
cccc 1:3.1.4-6
ccontrol 1.0-1
cdbs 0.4.122ubuntu2
cdecl 2.5-13
cernlib-base 20061220+dfsg3-4
cernlib-base-dev 20061220+dfsg3-4
cernlib-core-dev 20061220+dfsg3-4
cervisia 4:4.13.0-0ubuntu1
ceve 1:1.4-3
ceve 1:1.4-3
cflow 1:1.4+dfsg1-2ubuntu1
cfortran 4.4-14
cgdb 0.6.7-2
cgvg 1.6.2-2.1
check 0.9.10-6ubuntu3
chise-db 0.3.0-2ubuntu2
ckport 0.1~rc1-4
ckport-database 0.1~rc1-4
clang 1:3.4-0ubuntu1
clc-intercal 1:1.0~4pre1.-94.-2-3
cloc 1.60-1
clojure-contrib 1.2.0-2
clojure1.2 1.2.1+dfsg-4ubuntu1
clojure1.4 1.4.0+dfsg-3
cloog-ppl 0.16.1-5
cmake 2.8.12.2-0ubuntu3
cmake-curses-gui 2.8.12.2-0ubuntu3
cmake-data 2.8.12.2-0ubuntu3
cmake-qt-gui 2.8.12.2-0ubuntu3
coccinelle 1.0.0~rc19.deb-3
coco-cpp 20120102-1
coco-cs 20110419-5
code2html 0.9.1-4
codeblocks 13.12-3
coinst 1.9.1-1
coinst-viewer 1.9.1-1
colorgcc 1.3.2.0-10
colormake 0.9-1
condor-dev 0.9-1
config-manager 0.4-2.1
config-package-dev 5.1.2
connman-dev 1.15-0ubuntu3
cons 2.3.0.1+2.2.0-1
console-tools-dev 2.3.0.1+2.2.0-1
cook 2.33-1
cook-rsh 2.33-1
copyright-update 2013.0602-1
cppcheck 1.66-1~ubuntu14.04.1
cpputest 3.4-3
cproto 4.7l-1
crashme 2.4-11
crasm 1.7-1
cscope 15.8a-2
cscope-el 15.8a-2
ctapi-dev 1.1
cudf-tools 0.6.3-2build1
cutils 1.6-3.1
cutter-glib-support 1.1.7-1.2ubuntu3
cutter-gtk-support 1.1.7-1.2ubuntu3
cutter-report-module 1.1.7-1.2ubuntu3
cutter-testing-framework 1.1.7-1.2ubuntu3
cutter-testing-framework-bin 1.1.7-1.2ubuntu3
cwebx 3.04-9
cxref 1.6d-6
cxxtest 4.3-1
cyrus-dev-2.2 4.3-1
cyrus-dev-2.2 4.3-1
cyrus-dev-2.4 2.4.17+caldav~beta9-3
d-feet 0.3.8+really0.3.6-0ubuntu1
d52 3.4.1-1.1
darts 0.32-13
datefudge 1.18ubuntu3
dbs 1.18ubuntu3
dbus 1.6.18-0ubuntu4.3
ddd 1:3.3.12-5
debarchiver 0.10.0
debaux 0.1.10-1
debaux-debconf 0.1.10-1
debconf-utils 1.5.51ubuntu2
debdelta 0.50+2
debhelper 9.20131227ubuntu1
debian-installer 20101020ubuntu318.15
debian-xcontrol 0.0.4-1.1build2
debnest 0.0.4-1.1build2
debomatic 0.11-2
dejagnu 1.5-3build1
delta 2006.08.03-6
deps-tools-cli 0.13-1.1
desktop-file-utils 0.22-1ubuntu1
devhelp 3.8.2-2ubuntu1
devhelp-common 3.8.2-2ubuntu1
device-tree-compiler 1.4.0+dfsg-1
devscripts 2.14.1
dh-ada-library 5.9
dh-apparmor 2.8.95~2430-0ubuntu5.1
dh-autoreconf 9
dh-buildinfo 0.10ubuntu1
dh-consoledata 0.7.88
dh-di 6
dh-exec 0.12
dh-kpatches 0.99.36+nmu1
dh-linktree 0.4
dh-make 0.63
dia2code 0.8.3-4
dictionaries-common-dev 1.20.5
dieharder 3.31.1-4
diffstat 1.58-1
dis51 0.5-1.1
dist 1:3.5-30-3.3
distcc 3.1-6
distcc-pump 3.1-6
distccmon-gnome 3.1-6
distro-info 0.12
distro-info-data 0.18ubuntu0.2
ditrack 0.8-1.2
ditz 0.8-1.2
dmake 0.8-1.2
dmucs 0.6.1-2.1
doclifter 2.11-1
