abinit-doc 5.3.4.dfsg-4
abs-guide 6.6-1
acl2-doc 6.3-5
activiz.net-doc 1:1.0~git20111214-2
ada-reference-manual-2005 1:2012.2-2ubuntu1
ada-reference-manual-2012 1:2012.2-2ubuntu1
aegis-doc 4.24.3-3
afnix-doc 2.2.0-2ubuntu1
agda-stdlib-doc 0.7-2
allegro4-doc 2:4.4.2-4
alpine-doc 2.10+dfsg-1
alure-doc 1.2-6
am-utils-doc 6.2+rc20110530-3.2ubuntu1
amarok-doc 2:2.8.0-0ubuntu3
anarchism 14.0-2
angband-doc 3.0.3.5
ant-doc 1.9.3-2build1
antlr-doc 2.7.7+dfsg-5
antlr3-doc 3.2.is.3.2-7ubuntu3
anyremote-doc 6.3.2-1
aolserver4-doc 4.5.1-16
apache2-doc 2.4.7-1ubuntu4.4
apcupsd-doc 3.14.10-2build1
aplus-fsf-doc 4.22.1-6
apparmor-docs 2.8.95~2430-0ubuntu5.1
apt-doc 1.0.1ubuntu2.6
apt-dpkg-ref 5.3.1ubuntu1
aptitude-doc-cs 0.6.8.2-1ubuntu4
aptitude-doc-en 0.6.8.2-1ubuntu4
aptitude-doc-es 0.6.8.2-1ubuntu4
aptitude-doc-fi 0.6.8.2-1ubuntu4
aptitude-doc-fr 0.6.8.2-1ubuntu4
aptitude-doc-it 0.6.8.2-1ubuntu4
aptitude-doc-ja 0.6.8.2-1ubuntu4
aroarfw-doc 0.1~beta5-1
asis-doc 2010-6
aspectj-doc 1.6.12+dfsg-3
aspell-doc 0.60.7~20110707-1ubuntu1
asr-manpages 1.3-6
asterisk-doc 1:11.7.0~dfsg-1ubuntu1
asymptote-doc 2.15-2build2
at-spi-doc 2.15-2build2
at-spi2-doc 2.10.2.is.2.10.1-0ubuntu1
ats-lang-anairiats-doc 0.2.11-1
augeas-doc 1.2.0-0ubuntu1.1
auto-multiple-choice-doc 1.2.1-1
auto-multiple-choice-doc-pdf 1.2.1-1
autoconf-doc 2.69-6
automake1.9-doc 2.69-6
avrdude-doc 6.0.1-1
awl-doc 0.53-1
axiom-doc 20120501-8
babel-doc 1.4.0.dfsg-8.2
backup-manager-doc 0.7.10.1-2
bacula-doc 5.2.6-3
bash-doc 4.3-7ubuntu1.5
beast-doc 0.7.8-1
beets-doc 1.3.1-1
bible-kjv 4.26
bible-kjv-text 4.26
bibus-doc-en 1.5.2-3
bind9-doc 1:9.9.5.dfsg-3ubuntu0.2
binutils-doc 2.24-5ubuntu3.1
bison-doc 1:3.0.2-1
bisonc++-doc 4.05.00-1
blends-doc 0.6.16.4ubuntu2
bochs-doc 2.4.6-6
brickos-doc 2.4.6-6
bsh-doc 2.0b4-15
bzip2-doc 1.0.6-5
bzr-doc 2.6.0+bzr6593-1ubuntu1.1
c++-annotations 9.8.0-1
c++-annotations-contrib 9.8.0-1
c++-annotations-dvi 9.8.0-1
c++-annotations-html 9.8.0-1
c++-annotations-latex 9.8.0-1
c++-annotations-pdf 9.8.0-1
c++-annotations-ps 9.8.0-1
c++-annotations-txt 9.8.0-1
c2hs-doc 0.16.4-2
cameleon-doc 0.16.4-2
camlidl-doc 1.04-4
caspar-doc 20140106-1ubuntu2
cbflib-doc 0.9.2.2-1
cdrkit-doc 9:1.1.11-2ubuntu3
cedar-backup2-doc 2.22.0-1
cfi-en 3.0-10
cfi-sv 3.0-10
check-mk-doc 1.2.2p3-1
checkstyle-doc 5.6-2ubuntu0.1
cimg-doc 1.5.7+dfsg-1
cimg-examples 1.5.7+dfsg-1
citadel-doc 8.24-1
cl-mcclim-doc 0.9.6.dfsg.cvs20100315-2
clamav-docs 0.98.6+dfsg-0ubuntu0.14.04.1
clanlib-doc 1.0~svn3827-3build1
claws-mail-doc 3.9.3-1ubuntu1
clhep-doc 2.1.2.3-1
clips-doc 6.24-2
clisp-doc 1:2.49-9ubuntu1
cltl 1.0.26
cmake-doc 2.8.12.2-0ubuntu3
cminpack-doc 1.3.1-1
coccinelle-doc 1.0.0~rc19.deb-3
coco-doc 20060919-2
coinor-csdp-doc 6.1.1-1
coinor-libcbc-doc 2.8.7-1ubuntu2
coinor-libcgl-doc 0.58.4-2ubuntu2
coinor-libclp-doc 1.15.5-1ubuntu3
coinor-libcoinutils-doc 2.9.10-1ubuntu2
coinor-libdylp-doc 1.6.0-1.1ubuntu2
