aglfn 1.7-3
cm-super 0.3.4-9
cm-super-minimal 0.3.4-9
cm-super-x11 0.3.4-9
culmus 0.130-1
culmus-fancy 0.0.20051018-3
dvi2ps-fontdata-a2n 1.0.1-3
dvi2ps-fontdata-ja 1.0.1-3
dvi2ps-fontdata-n2a 1.0.1-3
dvi2ps-fontdata-ptexfake 1.0.1-3
dvi2ps-fontdata-rsp 1.0.1-3
dvi2ps-fontdata-tbank 1.0.1-3
dvi2ps-fontdata-three 1.0.1-3
emacs-intl-fonts 1.2.1-8
fontconfig 2.11.0-0ubuntu4.1
fontconfig-config 2.11.0-0ubuntu4.1
fontforge 20120731.b-5
fontforge-extras 0.3-4ubuntu1
fontforge-nox 20120731.b-5
fontmatrix 0.6.0+svn20110930-1.1build1
fonts-aoyagi-kouzan-t 20051011-12
fonts-aoyagi-soseki 20070207-11
fonts-arabeyes 2.1-3
fonts-arphic-bkai00mp 2.10-12
fonts-arphic-bsmi00lp 2.10-13
fonts-arphic-gbsn00lp 2.11-13
fonts-arphic-gkai00mp 2.11-13
fonts-arphic-ukai 0.2.20080216.2-4ubuntu2
fonts-arphic-uming 0.2.20080216.2-7ubuntu2
fonts-baekmuk 2.2-9
fonts-beng 2.2-9
fonts-beng-extra 1.0-4
fonts-beteckna 0.4-5ubuntu1
fonts-bpg-georgian 2012-2
fonts-breip 1.0-9
fonts-cabin 1.5-2
fonts-cabinsketch 1.02-2
fonts-cantarell 0.0.15-1
fonts-century-catalogue 001.001-6
fonts-circos-symbols 0.64-1
fonts-cmu 0.7.0-3
fonts-comfortaa 2.003-1
fonts-cwtex-fs 1.0-3
fonts-cwtex-heib 1.0-3
fonts-cwtex-kai 1.0-3
fonts-cwtex-ming 1.0-3
fonts-cwtex-yen 1.0-3
fonts-dancingscript 1.2-1
fonts-dejima-mincho 227-11
fonts-deva 227-11
fonts-deva-extra 3.0-2
fonts-dkg-handwriting 0.15-1
fonts-dosis 1.7-2
fonts-droid 1:4.3-3ubuntu1.1
fonts-dustin 20030517-10
fonts-dzongkha 0.3-8
fonts-ecolier-court 1.00-5
fonts-ecolier-lignes-court 1.00-6
fonts-eeyek 1.0-3
fonts-evertype-conakry 0.002+source-3
fonts-f500 1.0-5
fonts-fanwood 1.1-3
fonts-farsiweb 0.4.dfsg-12
fonts-freefarsi 1.0.0~beta1-7
fonts-freefont-otf 20120503-4
fonts-freefont-ttf 20120503-4
fonts-gfs-artemisia 1.1-5
fonts-gfs-baskerville 1.1-5
fonts-gfs-bodoni-classic 1.1-5
fonts-gfs-complutum 1.1-6
fonts-gfs-didot 1.1-6
fonts-gfs-didot-classic 1.1-5
fonts-gfs-gazis 1.1-5
fonts-gfs-neohellenic 1.1-6
fonts-gfs-olga 1.1-5
fonts-gfs-porson 1.1-6
fonts-gfs-solomos 1.1-5
fonts-gfs-theokritos 1.1-5
fonts-gubbi 1.3-3
fonts-gujr 1.3-3
fonts-gujr-extra 1.0-3
fonts-guru 1.0-3
fonts-guru-extra 2.0-3
fonts-hanazono 20131208-1
fonts-horai-umefont 460-1
fonts-hosny-amiri 0.107-1
fonts-hosny-thabit 0.02-2
fonts-inconsolata 001.010-5
fonts-ipaexfont 00201-4ubuntu1
fonts-ipaexfont-gothic 00201-4ubuntu1
fonts-ipaexfont-mincho 00201-4ubuntu1
fonts-ipafont 00303-12ubuntu1
fonts-ipafont-gothic 00303-12ubuntu1
