0ad 0.0.16-2~ubuntu14.04.1
0ad-data 0.0.16-1~ubuntu14.04.1
3dchess 0.8.1-17
4digits 1.1.4-1
7kaa 2.14.4-1
7kaa-data 2.14.4-1
a7xpg 0.11.dfsg1-8
a7xpg-data 0.11.dfsg1-8
aajm 0.4-6.2build1
abe 1.1+dfsg-1
abe-data 1.1+dfsg-1
ace-of-penguins 1.4-0ubuntu2
acm 5.0-28ubuntu1
adonthell 0.3.5-9
adonthell-data 0.3.5+dfsg-2
airstrike 0.99+1.0pre6a-5
airstrike-common 0.99+1.0pre6a-5
aisleriot 1:3.10.2-1
alex4 1.1-6
alex4-data 1.1-6
alien-arena 7.66+dfsg-1
alien-arena-data 7.53-1
alien-arena-server 7.66+dfsg-1
alienblaster 1.1.0-8
alienblaster-data 1.1.0-8
amoebax 0.2.1+dfsg-1ubuntu1
amoebax-data 0.2.1+dfsg-1ubuntu1
amor 4:4.13.3-0ubuntu0.1
amphetamine 0.8.10-18
amphetamine-data 0.8.7-14
an 1.1-1build1
angband 1:3.3.2-2.1
angband-data 1:3.3.2-2.1
angrydd 1.0.1-10
animals 201207131226-1build1
antigravitaattori 0.0.3-5ubuntu1
ardentryst 1.71-5
armagetronad 0.2.8.3.2-1
armagetronad-common 0.2.8.3.2-1
armagetronad-dedicated 0.2.8.3.2-1
asc 2.5.0.0-1ubuntu1
asc-data 2.5.0.0-1ubuntu1
asc-music 1.3-2
asciijump 1.0.2~beta-6
assaultcube 1.1.0.4+dfsg2-1ubuntu1
assaultcube-data 1.1.0.4+repack1-2.1
asylum 0.3.2-1
asylum-data 0.3.2-1
atanks 5.8~dfsg-1
atanks-data 5.8~dfsg-1
atom4 4.1-6
atomix 2.14.0-2ubuntu2
atomix-data 2.14.0-2ubuntu2
atris 2.14.0-2ubuntu2
attal 1.0~rc2-2
attal-themes-medieval 1.0~rc2.dfsg1-1
auralquiz 0.8.1-1
balazar3 0.1-10
balazar3-2d 0.1-10
balazar3-3d 0.1-10
balazar3-common 0.1-10
balazarbrothers 1.0~rc1-4.2
balder2d 1.0-1.1build1
balder2d-data 1.0-1.1build1
ballz 1.0.2-1build2
ballz-data 1.0.2-1build2
barrage 1.0.4-1
bastet 0.43-2.1build3
battleball 0.43-2.1build3
bb 1.3rc1-8.1
beneath-a-steel-sky 0.0372-5
berusky 1.4-1ubuntu1
berusky-data 1.4-1
between 6+dfsg1-3
billard-gl 1.75-15
billard-gl-data 1.75-15
biloba 0.9.3-4
biloba-data 0.9.3-4
biniax2 1.30-2
biniax2-data 1.30-2
black-box 1.4.8-2.1ubuntu1
blinken 4:4.13.0-0ubuntu1
blobandconquer 1.11-dfsg+20-1ubuntu1
blobandconquer-data 1.11-dfsg+20-1ubuntu1
blobby 1.0~rc3-3
blobby-data 1.0~rc3-3
blobby-server 1.0~rc3-3
bloboats 1.0.2+dfsg-1
blobwars 1.19-2ubuntu1
blobwars-data 1.19-2ubuntu1
blockattack 1.4.1+ds1-2.1build1
blockout2 2.4+dfsg1-7
blocks-of-the-undead 1.0-5
blocks-of-the-undead-data 1.0-5
bombardier 0.8.3+nmu1ubuntu1
bomber 4:4.13.0-0ubuntu1
bomberclone 0.11.9-4
bomberclone-data 0.11.9-4
boswars 2.7-1
boswars-data 2.7-1
bouncy 0.6.20071104-4
bovo 4:4.13.0-0ubuntu1
briquolo 0.5.7-6
briquolo-data 0.5.7-6
brutalchess 0.5.2+dfsg-5
bsdgames 2.17-21
bsdgames-nonfree 2.17-6
bsnes 094-2
btanks 0.9.8083-4
btanks-data 0.9.8083-4
bubbros 1.6-2
bugsquish 0.0.6-7
bumprace 1.5.4-1
bumprace-data 1.5.4-1
burgerspace 1.9.2-1
bygfoot 2.3.2-1.1
bygfoot-data 2.3.2-1.1
bzflag 2.4.2+ds1-5build1
bzflag-client 2.4.2+ds1-5build1
bzflag-data 2.4.2+ds1-5build1
bzflag-server 2.4.2+ds1-5build1
cappuccino 0.5.1-2.2
cardstories 1.0.6-1.3
castle-combat 0.8.1.dfsg.1-3.1
cavezofphear 0.5.1-1
ceferino 0.97.8+svn37-1
ceferino-data 0.97.8+svn37-1
cgoban 1.9.14-17
childsplay 1.6-1
childsplay-alphabet-sounds-bg 0.9.1-2
childsplay-alphabet-sounds-el 0.9-2
childsplay-alphabet-sounds-en-gb 0.9.1-2
childsplay-alphabet-sounds-nb 0.9.1-1
childsplay-alphabet-sounds-ro 0.9.1-1
childsplay-alphabet-sounds-sl 0.9.1-1
chipw 2.0.6-1.1
chocolate-doom 2.0.0-1ubuntu1
chromium-bsu 0.9.15.1-1
chromium-bsu-data 0.9.15.1-1
circuslinux 1.0.3-28
circuslinux-data 1.0.3-28
colorcode 0.7.2-1
connectagram 1.0.1-1
cookietool 2.5-5
cowsay 3.03+dfsg1-6
crack-attack 1.1.14-9.1
crafty 23.4-6ubuntu1
crafty-bitmaps 1.0-1
crafty-books-medium 1.0.debian1-2
crafty-books-medtosmall 1.0.debian1-2
crafty-books-small 1.0.debian1-2
crawl 2:0.13.1-1
crawl-common 2:0.13.1-1
crawl-tiles 2:0.13.1-1
crimson 0.5.2-1
criticalmass 1:1.0.0-1.5ubuntu1
criticalmass-data 1:1.0.0-1.5ubuntu1
crossfire-client 1.70.0-1
crossfire-client-images 1.70.0-1
crossfire-client-sounds 1.9.1-1
crossfire-common 1.70.0-1
crossfire-maps 1.70.0-1
crossfire-maps 1.70.0-1
crossfire-maps-small 1.5.0-3
crossfire-server 1.70.0-1
csmash 0.6.6-6.6ubuntu2
csmash-data 0.6.6-6.6ubuntu2
csmash-demosong 1.4
cultivation 9+dfsg1-2
cuyo 2.0.0brl1-2
cuyo-data 2.0.0brl1-2
cytadela 1.1.0-1
cytadela-data 1.1.0-1
dangen 0.5-2
darkplaces 0~20130304+svn11952-2
darkplaces-server 0~20130304+svn11952-2
dds 2.4.2+ddd105-1
deal 3.1.9-8
dealer 0.20040530-4
defendguin 0.0.12-4
defendguin-data 0.0.12-4
desmume 0.9.9-1
deutex 4.4.902-14
dizzy 0.3-2
dodgindiamond2 0.2.2-2
doom-wad-shareware 1.9.fixed-2
doomsday 1.9.0-beta6.9+dfsg1-2.1
dopewars 1.5.12-14
dopewars-data 1.5.12-14
dossizola 1.0-8.3
dossizola-data 1.0-8.3
dreamchess 0.2.0-3
dreamchess-data 0.2.0-3
dvorak7min 1.6.1-13.1
eboard 1.1.1-6
eboard-extras-pack1 2-3
efp 1.4-2
einstein 2.0.dfsg.2-9
eleeye 0.29.6-2ubuntu1
emacs-chess 2.0b6-1.1ubuntu1
ember 2.0b6-1.1ubuntu1
ember-media 0.7.0-1
empire 1.11-1
empire-hub 1.0.2.1
empire-lafe 1.1-1
enemylines3 1.2-7
enemylines7 0.6-4ubuntu1
enigma 1.20-dfsg.1-2
enigma-data 1.20-dfsg.1-2
epiphany 0.7.0-6
epiphany-data 0.7.0-6
etoys 4.0.2340-1
etw 3.6+svn162-2
etw-data 3.6+svn162-2
excellent-bifurcation 0.0.20071015-6
extremetuxracer 0.4-5ubuntu1
extremetuxracer-data 0.4-5ubuntu1
extremetuxracer-extras 0.6-1
extremetuxracer-gimp-dev 0.4-5ubuntu1
exult 1.2-15.3
exult-studio 1.2-15.3
fairymax 4.8q-2
fb-music-high 0.1.2
fceu 0.98.12-4.1
fcmp 0.98.12-4.1
ffrenzy 1.0.2~svn20070530-4ubuntu3
fgo 1.3.1-2
filler 1.02-6.1
fillets-ng 1.0.1-3
fillets-ng-data 1.0.0-1
fillets-ng-data-cs 1.0.0-1
fillets-ng-data-nl 1.0.0-1
filters 2.49
fizmo-common 0.7.7-2ubuntu2
fizmo-console 0.7.7-2ubuntu2
fizmo-ncursesw 0.7.7-2ubuntu2
flare 0.18-1
flare-data 0.18-1
flight-of-the-amazon-queen 1.0.0-8
flobopuyo 0.20-5
fltk1.1-games 1.1.10-17
fltk1.3-games 1.3.2-4
fofix 3.121-3
foobillard 3.43~svn170+dfsg-1
fortune-mod 1:1.99.1-7
fortune-zh 1.10
fortunes 1:1.99.1-7
fortunes-bg 1.1
fortunes-bofh-excuses 1.2-2
fortunes-br 20080530
fortunes-cs 2.0-1
fortunes-de 0.31-1
fortunes-debian-hints 2.00
fortunes-eo 20020729-4
fortunes-eo-ascii 20020729-4
fortunes-eo-iso3 20020729-4
fortunes-es 1.32
fortunes-es-off 1.32
fortunes-fr 0.65+nmu2
fortunes-ga 0.9
fortunes-it 1.99-3
