aa3d 1.0-8
aaphoto 0.43.1-1
abr2gbr 1:1.0.2-2ubuntu1
activiz.net-examples 1:1.0~git20111214-2
aes2501-wy 0.1-5ubuntu1
ale 0.9.0.3-1.1
amide 1.0.4-1build1
apng2gif 1.5-3
aqsis 1.8.1-4build1
aqsis-examples 1.8.1-4build1
ardesia 1.1-1
argyll 1.5.1-5ubuntu1
autotrace 0.31.1-16build2
barcode 0.98+debian-9
blender 2.69-4ubuntu2
blender-ogrexml 2.69-4ubuntu2
blender-ogrexml-1.8 1.8.1+dfsg-0ubuntu3
byzanz 0.3.0+git20140123-1
cadubi 1.3-2
calligraflow 1:2.8.1-1-0ubuntu3
calligraflow-data 1:2.8.1-1-0ubuntu3
cbrpager 0.9.22-1
cdlabelgen 4.1.0-2
charactermanaj 0.98+svn20120311.r42-1
colord 1.0.6-1
colorhug-client 0.2.1-1
contextfree 3.0.5+dfsg1-2.1
create-resources 0.1.3-5
ctioga2 0.8-2
cube2font 1.3.1-2
cuneiform 1.1.0+dfsg-4
cuneiform-common 1.1.0+dfsg-4
cups-pdf 2.6.1-9
darktable 1.4-2
dcraw 9.19-1.1ubuntu1
debian-edu-artwork 9.19-1.1ubuntu1
dia 0.97.2-15ubuntu1
dia-common 0.97.2-15ubuntu1
dia-libs 0.97.2-15ubuntu1
dia-shapes 0.6.0-1
dicom3tools 1.00~20140105-1
dicomscope 3.6.0-11
didjvu 0.2.7-1
digikam 4:3.5.0-0ubuntu10
digikam-data 4:3.5.0-0ubuntu10
dime 0.20030921-4
ditaa 0.9+ds1-3
djview 3.5.25.4-3
djview3 3.5.25.4-3
djview4 4.9-4ubuntu3
djvulibre-bin 3.5.25.4-3
dot2tex 2.8.7+repack-1.1
dv4l 1.0-5
dvbcut 0.5.4+svn178-4build1
edisplay 0.8.9-3build1
enblend 4.1.2+dfsg-2ubuntu2
enfuse 4.1.2+dfsg-2ubuntu2
epstool 3.08+repack-3
epub-utils 0.2.2-2ubuntu1
evolvotron 0.6.3-1build1
exactimage 0.8.9-3build1
exif 0.6.21-1
exifprobe 2.0.1-1fakesync1
exiftags 1.01-6
exiftran 2.07-11
exiv2 0.23-1ubuntu2
exrtools 0.4-1.2ubuntu1
fbcat 0.3-1
fbi 2.07-11
feh 2.9.3-1
ffdiaporama 1.5-2build1
ffdiaporama-data 1.5-2build1
ffmpeg 1.5-2build1
fig2sxd 0.20-1
figtoipe 20080517-1
fim 20080517-1
findimagedupes 2.18-4build3
flam3 3.0.1-3
flpsed 0.5.2-1
font-manager 0.5.7-4
fotoxx 12.01.2-0ubuntu3
fracplanet 0.4.0-3build2
frogr 0.9-1
frogr-data 0.9-1
fswebcam 20140113-1
fyre 1.0.1-4
g3dviewer 0.2.99.5~svn130-2
gallery-uploader 2.4-1
gdmap 0.8.1-3
geeqie 1:1.1-8
geeqie-common 1:1.1-8
gem 1:0.93.3-5ubuntu4
gem-extra 1:0.93.3-5ubuntu4
gem-plugin-dc1394 1:0.93.3-5ubuntu4
gem-plugin-dv4l 1:0.93.3-5ubuntu4
gem-plugin-gmerlin 1:0.93.3-5ubuntu4
gem-plugin-jpeg 1:0.93.3-5ubuntu4
gem-plugin-lqt 1:0.93.3-5ubuntu4
gem-plugin-magick 1:0.93.3-5ubuntu4
gem-plugin-mpeg3 1:0.93.3-5ubuntu4
gem-plugin-sgi 1:0.93.3-5ubuntu4
gem-plugin-tiff 1:0.93.3-5ubuntu4
gem-plugin-unicap 1:0.93.3-5ubuntu4
gem-plugin-v4l2 1:0.93.3-5ubuntu4
gextractwinicons 0.3.1-1
gif2apng 1.7-3
gif2png 2.5.8-1
gifsicle 1.78-1
giftrans 1.12.2-17ubuntu1
gimp 2.8.10-0ubuntu1
gimp-cbmplugs 1.2.2-1
gimp-data 2.8.10-0ubuntu1
gimp-data-extras 1:2.0.1-3
