afnix 2.2.0-2ubuntu1
aplus-fsf 4.22.1-6
brandy 1.20-1
bwbasic 2.20pl2-11
c-repl 0.0.20071223-1ubuntu1
cairo-5c 0.0.20071223-1ubuntu1
cduce 0.6.0-1
clasp 2.1.4-1ubuntu1
clif 0.93-9
clips 6.24-3ubuntu1
clips-common 6.24-3ubuntu1
coala 1.0.1-5
cpp 4:4.8.2-1ubuntu6
cpp-4.4 4.4.7-8ubuntu1
cpp-4.6 4.6.4-6ubuntu2
cpp-4.7 4.7.3-12ubuntu1
depqbf 2.0-1
dh-lua 19
elza 1.4.3-16
empty-expect 0.6.19b-1ubuntu1
erlang 1:16.b.3-dfsg-1ubuntu2.1
erlang-appmon 1:16.b.3-dfsg-1ubuntu2.1
erlang-asn1 1:16.b.3-dfsg-1ubuntu2.1
erlang-base 1:16.b.3-dfsg-1ubuntu2.1
erlang-base-hipe 1:16.b.3-dfsg-1ubuntu2.1
erlang-common-test 1:16.b.3-dfsg-1ubuntu2.1
erlang-corba 1:16.b.3-dfsg-1ubuntu2.1
erlang-crypto 1:16.b.3-dfsg-1ubuntu2.1
erlang-debugger 1:16.b.3-dfsg-1ubuntu2.1
erlang-dev 1:16.b.3-dfsg-1ubuntu2.1
erlang-dialyzer 1:16.b.3-dfsg-1ubuntu2.1
erlang-diameter 1:16.b.3-dfsg-1ubuntu2.1
erlang-edoc 1:16.b.3-dfsg-1ubuntu2.1
erlang-eldap 1:16.b.3-dfsg-1ubuntu2.1
erlang-erl-docgen 1:16.b.3-dfsg-1ubuntu2.1
erlang-et 1:16.b.3-dfsg-1ubuntu2.1
erlang-eunit 1:16.b.3-dfsg-1ubuntu2.1
erlang-examples 1:16.b.3-dfsg-1ubuntu2.1
erlang-gs 1:16.b.3-dfsg-1ubuntu2.1
erlang-guestfs 1:1.24.5-1
erlang-ic 1:16.b.3-dfsg-1ubuntu2.1
erlang-ic-java 1:16.b.3-dfsg-1ubuntu2.1
erlang-inets 1:16.b.3-dfsg-1ubuntu2.1
erlang-inviso 1:16.b.3-dfsg-1ubuntu2.1
erlang-jinterface 1:16.b.3-dfsg-1ubuntu2.1
erlang-megaco 1:16.b.3-dfsg-1ubuntu2.1
erlang-mnesia 1:16.b.3-dfsg-1ubuntu2.1
erlang-mode 1:16.b.3-dfsg-1ubuntu2.1
erlang-nox 1:16.b.3-dfsg-1ubuntu2.1
erlang-observer 1:16.b.3-dfsg-1ubuntu2.1
erlang-odbc 1:16.b.3-dfsg-1ubuntu2.1
erlang-os-mon 1:16.b.3-dfsg-1ubuntu2.1
erlang-parsetools 1:16.b.3-dfsg-1ubuntu2.1
erlang-percept 1:16.b.3-dfsg-1ubuntu2.1
erlang-pman 1:16.b.3-dfsg-1ubuntu2.1
erlang-public-key 1:16.b.3-dfsg-1ubuntu2.1
erlang-reltool 1:16.b.3-dfsg-1ubuntu2.1
erlang-runtime-tools 1:16.b.3-dfsg-1ubuntu2.1
erlang-snmp 1:16.b.3-dfsg-1ubuntu2.1
erlang-src 1:16.b.3-dfsg-1ubuntu2.1
erlang-ssh 1:16.b.3-dfsg-1ubuntu2.1
