atmel-firmware 1.3-4
aufs-tools 1:3.2+20130722-1.1
backfire-dkms 0.87-1ubuntu1
blcr-dkms 0.8.5-2.1
blktap-dkms 2.0.93-0ubuntu4
bluez-firmware 2.0.93-0ubuntu4
broadcom-sta-dkms 6.30.223.141-1
cloop-src 6.30.223.141-1
dahdi-source 1:2.5.0.1+dfsg-1ubuntu4~14.04.2
device3dfx-source 2013.08.08-1
dkms 2.2.0.3-1.1ubuntu5.14.04
fglrx-modules-dkms 2.2.0.3-1.1ubuntu5.14.04
fglrx-source 2.2.0.3-1.1ubuntu5.14.04
firmware-atheros 2.2.0.3-1.1ubuntu5.14.04
firmware-b43-installer 1:018-2
firmware-b43-lpphy-installer 1:018-2
firmware-b43legacy-installer 1:018-2
firmware-bnx2 1:018-2
firmware-bnx2x 1:018-2
firmware-brcm80211 1:018-2
firmware-intelwimax 1:018-2
firmware-ipw2x00 1:018-2
firmware-ivtv 1:018-2
firmware-iwlwifi 1:018-2
firmware-libertas 1:018-2
firmware-linux 1:018-2
firmware-linux-free 1:018-2
firmware-linux-nonfree 1:018-2
firmware-myricom 1:018-2
firmware-netxen 1:018-2
firmware-qlogic 1:018-2
firmware-ralink 1:018-2
firmware-realtek 1:018-2
fuse4bsd-dkms 1:018-2
gnumach 1:018-2
gnumach 1:018-2
gnumach-image-1-486 1:018-2
gnumach-image-1-xen-486 1:018-2
gnumach-image-1.3.99-486 1:018-2
gnumach-image-1.3.99-xen-486 1:018-2
grub-invaders 1.0.0-12
iscsitarget-dkms 1.4.20.3+svn499-0ubuntu2
kernel-package 12.036+nmu3
kernel-patch-atopacct 12.036+nmu3
kernel-patch-atopcnt 12.036+nmu3
kernel-patch-grsecurity2 12.036+nmu3
kernel-patch-scripts 0.99.36+nmu1
kernel-patch-viewos 0.99.36+nmu1
kfreebsd-downloader 0.99.36+nmu1
kfreebsd-downloader-9 0.99.36+nmu1
kfreebsd-downloader-9.0 0.99.36+nmu1
kfreebsd-headers-486 0.99.36+nmu1
kfreebsd-headers-686 0.99.36+nmu1
kfreebsd-headers-8-486 0.99.36+nmu1
kfreebsd-headers-8-686 0.99.36+nmu1
kfreebsd-headers-8-686-smp 0.99.36+nmu1
kfreebsd-headers-8-amd64 0.99.36+nmu1
kfreebsd-headers-8-malta 0.99.36+nmu1
kfreebsd-headers-8-xen 0.99.36+nmu1
kfreebsd-headers-8.3-1 0.99.36+nmu1
kfreebsd-headers-8.3-1-486 0.99.36+nmu1
kfreebsd-headers-8.3-1-686 0.99.36+nmu1
kfreebsd-headers-8.3-1-686-smp 0.99.36+nmu1
kfreebsd-headers-8.3-1-amd64 0.99.36+nmu1
kfreebsd-headers-8.3-1-malta 0.99.36+nmu1
kfreebsd-headers-8.3-1-xen 0.99.36+nmu1
kfreebsd-headers-9-486 0.99.36+nmu1
kfreebsd-headers-9-686 0.99.36+nmu1
kfreebsd-headers-9-686-smp 0.99.36+nmu1
kfreebsd-headers-9-amd64 0.99.36+nmu1
kfreebsd-headers-9-malta 0.99.36+nmu1
kfreebsd-headers-9-xen 0.99.36+nmu1
kfreebsd-headers-9.0-2 0.99.36+nmu1
kfreebsd-headers-9.0-2-486 0.99.36+nmu1
kfreebsd-headers-9.0-2-686 0.99.36+nmu1
kfreebsd-headers-9.0-2-686-smp 0.99.36+nmu1
kfreebsd-headers-9.0-2-amd64 0.99.36+nmu1
kfreebsd-headers-9.0-2-malta 0.99.36+nmu1
kfreebsd-headers-9.0-2-xen 0.99.36+nmu1
kfreebsd-headers-amd64 0.99.36+nmu1
kfreebsd-headers-malta 0.99.36+nmu1
kfreebsd-headers-xen 0.99.36+nmu1
kfreebsd-image-486 0.99.36+nmu1
kfreebsd-image-686 0.99.36+nmu1
kfreebsd-image-8-486 0.99.36+nmu1
kfreebsd-image-8-686 0.99.36+nmu1
kfreebsd-image-8-686-smp 0.99.36+nmu1
kfreebsd-image-8-amd64 0.99.36+nmu1
kfreebsd-image-8-malta 0.99.36+nmu1
kfreebsd-image-8-xen 0.99.36+nmu1
kfreebsd-image-8.3-1-486 0.99.36+nmu1
kfreebsd-image-8.3-1-686 0.99.36+nmu1
kfreebsd-image-8.3-1-686-smp 0.99.36+nmu1
kfreebsd-image-8.3-1-amd64 0.99.36+nmu1
kfreebsd-image-8.3-1-malta 0.99.36+nmu1
kfreebsd-image-8.3-1-xen 0.99.36+nmu1
kfreebsd-image-9-486 0.99.36+nmu1
kfreebsd-image-9-686 0.99.36+nmu1
kfreebsd-image-9-686-smp 0.99.36+nmu1
kfreebsd-image-9-amd64 0.99.36+nmu1
kfreebsd-image-9-malta 0.99.36+nmu1
kfreebsd-image-9-xen 0.99.36+nmu1
kfreebsd-image-9.0-2-486 0.99.36+nmu1
kfreebsd-image-9.0-2-686 0.99.36+nmu1
kfreebsd-image-9.0-2-686-smp 0.99.36+nmu1
kfreebsd-image-9.0-2-amd64 0.99.36+nmu1
kfreebsd-image-9.0-2-malta 0.99.36+nmu1
kfreebsd-image-9.0-2-xen 0.99.36+nmu1
kfreebsd-image-amd64 0.99.36+nmu1
kfreebsd-image-malta 0.99.36+nmu1
kfreebsd-image-xen 0.99.36+nmu1
kfreebsd-kernel-headers 0.99.36+nmu1
kfreebsd-source-8.3 0.99.36+nmu1
kfreebsd-source-9.0 0.99.36+nmu1
leds-alix-source 0.0.1-1.1
libertas-firmware 9.70.7.p0.0-2
libertas-firmware 9.70.7.p0.0-2
linux-base 3.5ubuntu4
linux-headers-3.2.0-4-486 3.5ubuntu4
linux-headers-3.2.0-4-4kc-malta 3.5ubuntu4
linux-headers-3.2.0-4-5kc-malta 3.5ubuntu4
linux-headers-3.2.0-4-686-pae 3.5ubuntu4
linux-headers-3.2.0-4-all 3.5ubuntu4
linux-headers-3.2.0-4-all-amd64 3.5ubuntu4
linux-headers-3.2.0-4-all-armel 3.5ubuntu4
linux-headers-3.2.0-4-all-armhf 3.5ubuntu4
linux-headers-3.2.0-4-all-i386 3.5ubuntu4
linux-headers-3.2.0-4-all-ia64 3.5ubuntu4
linux-headers-3.2.0-4-all-mips 3.5ubuntu4
linux-headers-3.2.0-4-all-mipsel 3.5ubuntu4
linux-headers-3.2.0-4-all-powerpc 3.5ubuntu4
linux-headers-3.2.0-4-all-s390 3.5ubuntu4
linux-headers-3.2.0-4-all-s390x 3.5ubuntu4
