atfs-dev 1.4pl6-11
audacious-dev 3.4.3-1
bmagic 3.7.0-2
boolstuff-dev 0.1.14-2
chipmunk-dev 6.1.5-1
codeblocks-dev 13.12-3
coinor-libcbc-dev 2.8.7-1ubuntu2
coinor-libcgl-dev 0.58.4-2ubuntu2
coinor-libclp-dev 1.15.5-1ubuntu3
coinor-libcoinutils-dev 2.9.10-1ubuntu2
coinor-libdylp-dev 1.6.0-1.1ubuntu2
coinor-libflopc++-dev 1.0.6-3.1ubuntu1
coinor-libipopt-dev 3.11.4-1build1
coinor-libosi-dev 0.106.4-1ubuntu5
coinor-libsymphony-dev 5.5.6-1ubuntu2
coinor-libvol-dev 1.1.7-1
comerr-dev 2.1-1.42.9-3ubuntu1.2
corosync-dev 2.3.3-1ubuntu1
cups-dbg 1.7.2-0ubuntu1.5
dcap-dev 2.47.8-2
dico-dev 2.2-5
dietlibc-dev 0.33~cvs20120325-4
dolfin-dev 1.3.0+dfsg-2
dssi-dev 1.1.1~dfsg0-1
dssi-example-plugins 1.1.1~dfsg0-1
dssi-host-jack 1.1.1~dfsg0-1
dssi-utils 1.1.1~dfsg0-1
e2fslibs-dbg 1.42.9-3ubuntu1.2
e2fslibs-dev 1.42.9-3ubuntu1.2
etl-dev 0.04.17-1
fcitx-libs-dev 1:4.2.8.3-3
festival-dev 1:2.1~release-6ubuntu1
firebird-dev 2.5.2.26540.ds4-9ubuntu1
flow-tools-dev 1:0.68-12.1build1
freeglut3-dev 2.8.1-1
ftplib-dev 3.1-1-9build1
gambas3-gb-chart 3.1.1-2.2ubuntu4
gambas3-gb-compress 3.1.1-2.2ubuntu4
gambas3-gb-compress-bzlib2 3.1.1-2.2ubuntu4
gambas3-gb-compress-zlib 3.1.1-2.2ubuntu4
gambas3-gb-crypt 3.1.1-2.2ubuntu4
gambas3-gb-db 3.1.1-2.2ubuntu4
gambas3-gb-db-form 3.1.1-2.2ubuntu4
gambas3-gb-db-mysql 3.1.1-2.2ubuntu4
gambas3-gb-db-odbc 3.1.1-2.2ubuntu4
gambas3-gb-db-postgresql 3.1.1-2.2ubuntu4
gambas3-gb-db-sqlite2 3.1.1-2.2ubuntu4
gambas3-gb-db-sqlite3 3.1.1-2.2ubuntu4
gambas3-gb-desktop 3.1.1-2.2ubuntu4
gambas3-gb-eval-highlight 3.1.1-2.2ubuntu4
gambas3-gb-form 3.1.1-2.2ubuntu4
gambas3-gb-form-dialog 3.1.1-2.2ubuntu4
gambas3-gb-form-mdi 3.1.1-2.2ubuntu4
gambas3-gb-gtk 3.1.1-2.2ubuntu4
gambas3-gb-gui 3.1.1-2.2ubuntu4
gambas3-gb-image 3.1.1-2.2ubuntu4
gambas3-gb-image-effect 3.1.1-2.2ubuntu4
gambas3-gb-image-imlib 3.1.1-2.2ubuntu4
gambas3-gb-image-io 3.1.1-2.2ubuntu4
gambas3-gb-mysql 3.1.1-2.2ubuntu4
gambas3-gb-net 3.1.1-2.2ubuntu4
gambas3-gb-net-curl 3.1.1-2.2ubuntu4
gambas3-gb-net-smtp 3.1.1-2.2ubuntu4
gambas3-gb-opengl 3.1.1-2.2ubuntu4
gambas3-gb-opengl-glsl 3.1.1-2.2ubuntu4
gambas3-gb-opengl-glu 3.1.1-2.2ubuntu4
gambas3-gb-option 3.1.1-2.2ubuntu4
gambas3-gb-pcre 3.1.1-2.2ubuntu4
gambas3-gb-pdf 3.1.1-2.2ubuntu4
gambas3-gb-qt4 3.1.1-2.2ubuntu4
gambas3-gb-qt4-ext 3.1.1-2.2ubuntu4
gambas3-gb-qt4-opengl 3.1.1-2.2ubuntu4
gambas3-gb-report 3.1.1-2.2ubuntu4
gambas3-gb-sdl 3.1.1-2.2ubuntu4
gambas3-gb-sdl-sound 3.1.1-2.2ubuntu4
gambas3-gb-settings 3.1.1-2.2ubuntu4
gambas3-gb-signal 3.1.1-2.2ubuntu4
gambas3-gb-v4l 3.1.1-2.2ubuntu4
gambas3-gb-vb 3.1.1-2.2ubuntu4
gambas3-gb-web 3.1.1-2.2ubuntu4
gambas3-gb-xml 3.1.1-2.2ubuntu4
gambas3-gb-xml-rpc 3.1.1-2.2ubuntu4
gambas3-gb-xml-xslt 3.1.1-2.2ubuntu4
gambas3-runtime 3.1.1-2.2ubuntu4
gambas3-script 3.1.1-2.2ubuntu4
gem-dev 1:0.93.3-5ubuntu4
giblib-dev 1.2.4-9
glade-xfce 1.2.4-9
glee-dev 5.4.0-2
gnash-dev 0.8.11~git20130903-3ubuntu1
gnome-settings-daemon-dev 3.8.6.1-0ubuntu11.2
gnunet-dev 0.9.3-7build1
gnuradio-dev 3.7.2.1-5
gridengine-drmaa-dev 6.2u5-7.3
iceweasel-dev 6.2u5-7.3
iproute-dev 6.2u5-7.3
kdelibs5-dev 4:4.13.3-0ubuntu0.2
kdepimlibs5-dev 4:4.13.3-0ubuntu0.2
kdevplatform-dev 1.6.0-0ubuntu1.1
kmymoney-dev 4.6.4-1
krb5-multidev 1.12+dfsg-2ubuntu5.1
lesstif2-dev 1.12+dfsg-2ubuntu5.1
lib32asound2-dev 1.12+dfsg-2ubuntu5.1
lib32bz2-dev 1.12+dfsg-2ubuntu5.1
lib32ffi-dev 1.12+dfsg-2ubuntu5.1
lib32gmp-dev 1.12+dfsg-2ubuntu5.1
lib32mpfr-dev 1.12+dfsg-2ubuntu5.1
lib32ncurses5-dev 1.12+dfsg-2ubuntu5.1
lib32ncursesw5-dev 1.12+dfsg-2ubuntu5.1
lib32readline-gplv2-dev 1.12+dfsg-2ubuntu5.1
lib32readline6-dev 1.12+dfsg-2ubuntu5.1
lib32tinfo-dev 1.12+dfsg-2ubuntu5.1
lib32v4l-dev 1.12+dfsg-2ubuntu5.1
lib32z1-dev 1.12+dfsg-2ubuntu5.1
lib3ds-dev 1.3.0-7
lib4store-dev 1.1.4-2ubuntu2
lib64bz2-dev 1.0.6-5
lib64expat1-dev 2.1.0-4ubuntu1
lib64ffi-dev 2.1.0-4ubuntu1
lib64gmp-dev 2.1.0-4ubuntu1
lib64ncurses5-dev 5.9+20140118-1ubuntu1
lib64readline-gplv2-dev 5.2+dfsg-2
lib64readline6-dev 6.3-4ubuntu2
lib64z1-dev 1:1.2.8.dfsg-1ubuntu1
liba52-0.7.4-dev 0.7.4-17
libaa1-dev 1.4p5-41
libaacs-dev 0.7.0-1
libaal-dev 1.0.5-6
libabiword-2.9-dev 1.0.5-6
libaccountsservice-dev 0.6.35-0ubuntu7.1
libace-dev 6.0.3+dfsg-0.2
libace-flreactor-dev 6.0.3+dfsg-0.2
libace-foxreactor-dev 6.0.3+dfsg-0.2
libace-htbp-dev 6.0.3+dfsg-0.2
libace-inet-dev 6.0.3+dfsg-0.2
libace-inet-ssl-dev 6.0.3+dfsg-0.2
libace-qtreactor-dev 6.0.3+dfsg-0.2
libace-rmcast-dev 6.0.3+dfsg-0.2
libace-ssl-dev 6.0.3+dfsg-0.2
libace-tkreactor-dev 6.0.3+dfsg-0.2
libace-tmcast-dev 6.0.3+dfsg-0.2
libace-xtreactor-dev 6.0.3+dfsg-0.2
libacexml-dev 6.0.3+dfsg-0.2
libacl1-dev 2.2.52-1
libacpi-dev 0.2-4ubuntu1
libacr38ucontrol-dev 1.7.11-1
libadasockets4-dev 1.8.10-2
libaddresses-dev 0.4.7-1ubuntu4
libaddressview-dev 0.4.7-1ubuntu4
libadios-dev 1.5.0-1ubuntu7
libadminutil-dev 1.1.20-0ubuntu1
libadns1-dev 1.4-2ubuntu1
libadolc-dev 2.4.1-1
libadplug-dev 2.2.1+dfsg3-0.1ubuntu1
libafflib-dev 3.6.6-1.1
libafrodite-0.12-dev 3.6.6-1.1
libafterimage-dev 2.2.12-2
libagg-dev 2.5+dfsg1-9
libahven3-dev 2.1-4
libaiksaurus-1.2-dev 1.2.1+dev-0.12-6.1ubuntu2
libaiksaurusgtk-1.2-dev 1.2.1+dev-0.12-6.1ubuntu2
libaio-dev 0.3.109-4
libakonadi-dev 1.12.1-0ubuntu1.1
libalberta2-dev 2.0.1-6
libaldmb1-dev 1:0.9.3-6
libalglib-dev 3.8.2-1
libalias-dev 3.8.2-1
libalkimia-dev 4.3.2-1.1
liballeggl4-dev 2:4.4.2-4
liballegro4.2-dev 2:4.4.2-4
libalog0.4.1-base-dev 0.4.1-2
libalog0.4.1-full-dev 0.4.1-2
libalsaplayer-dev 0.99.80-5.1ubuntu1
libalure-dev 1.2-6
libalut-dev 1.1.0-3ubuntu1
libamu-dev 6.2+rc20110530-3.2ubuntu1
libanalitza-dev 4:4.13.0-0ubuntu1
libanet0.1-dev 0.1-3
libanjuta-dev 2:3.10.2-0ubuntu2
libann-dev 1.1.2+doc-4.1
libanthy-dev 9100h-23ubuntu2
libantlr-dev 2.7.7+dfsg-5
libantlr3c-dev 3.2-2ubuntu1
libao-dev 1.1.0-2ubuntu2
libaosd-dev 0.2.7-1
libapache2-mod-perl2-dev 2.0.8+httpd24-r1449661-6ubuntu2
libapertium3-3.1-0-dev 3.1.0-2
libapm-dev 3.2.2-14build1
libapol-dev 3.3.8-3ubuntu1
libapparmor-dev 2.8.95~2430-0ubuntu5.1
libappindicator-dev 12.10.1+13.10.20130920-0ubuntu4.1
libappindicator3-dev 12.10.1+13.10.20130920-0ubuntu4.1
libapq-postgresql3.2.0-dev 3.2.0-2
libapq3.2.0-dev 3.2.0-1
libapr-memcache-dev 0.7.0-3
libapr1-dev 1.5.0-1
libapreq2-dev 2.13-3ubuntu2
libapron-dev 0.9.10-6
libaprutil1-dev 1.5.3-1
libapt-pkg-dev 1.0.1ubuntu2.6
libaqbanking34-dev 5.3.5beta-2
libaqsis-dev 1.8.1-4build1
libarchive-dev 3.1.2-7ubuntu2.1
libargtable2-dev 12-1ubuntu1
libarmadillo-dev 1:4.200.0+dfsg-1
libarpack++2-dev 2.3-2ubuntu1
libarpack2-dev 3.1.5-2
libart-2.0-dev 2.3.21-2
libasio-dev 1.10.1-1
libasis2010-dev 2010-6
libasm-dev 0.158-0ubuntu5.2
