agda-stdlib 0.7-2
asterisk-modules 1:11.7.0~dfsg-1ubuntu1
bamfdaemon 0.5.1+14.04.20140409-0ubuntu1
blacs1-pvm 1.1-21
blimps-examples 3.9-1
blt 2.4z-7ubuntu2
bognor-regis 0.6.12+git20101007.02c25268-8
boinc-cgi-stripchart 0.6.12+git20101007.02c25268-8
boolstuff 0.1.14-2
bwidget 1.9.7-1
calligra-data 1:2.8.1-1-0ubuntu3
calligra-libs 1:2.8.1-1-0ubuntu3
cloog-isl 0.18.2-1
coinor-libcbc0 0.18.2-1
coinor-libcgl0 0.18.2-1
coinor-libclp0 0.18.2-1
coinor-libcoinutils0 0.18.2-1
coinor-libdylp0 1.6.0-1.1ubuntu2
coinor-libipopt1 3.11.4-1build1
coinor-libosi0 3.11.4-1build1
coinor-libsymphony0 3.11.4-1build1
coinor-libvol0 1.1.7-1
coop-computing-tools-dev 4.0-1ubuntu1
crtmpserver-libs 1.0~dfsg-5
dcap-tunnel-gsi 2.47.8-2
dcap-tunnel-krb 2.47.8-2
dcap-tunnel-ssl 2.47.8-2
dcap-tunnel-telnet 2.47.8-2
dconf-gsettings-backend 0.20.0-1
dconf-service 0.20.0-1
dee-tools 1.2.7+14.04.20140324-0ubuntu1
discover-data 2.2013.01.11
djvulibre-desktop 3.5.25.4-3
e2fslibs 1.42.9-3ubuntu1.2
eegdev-plugins-free 0.2-3.1
erlang-esdl 1.2-2build1
fcitx-libs 1:4.2.8.3-3
ffmpeg-dbg 1:4.2.8.3-3
folks-common 0.9.5-1ubuntu5
freeglut3 2.8.1-1
freenect 1:0.2.0+dfsg-2
freetds-common 0.91-5
ftplib3 3.1-1-9build1
gcc-4.4-base 4.4.7-8ubuntu1
gcc-4.6-base 4.6.4-6ubuntu2
gcc-4.7-base 4.7.3-12ubuntu1
gcj-4.6-base 4.7.3-12ubuntu1
gcj-4.7-base 4.7.3-12ubuntu1
gconf-defaults-service 3.2.6-0ubuntu2
gconf-gsettings-backend 3.2.6-0ubuntu2
gconf-service 3.2.6-0ubuntu2
gconf2 3.2.6-0ubuntu2
gconf2-common 3.2.6-0ubuntu2
gegl 0.2.0-4ubuntu1
giblib1 1.2.4-9
glib-networking 2.40.0-1
glib-networking-common 2.40.0-1
glib-networking-services 2.40.0-1
glusterfs-common 3.4.2-1ubuntu1
glx-alternative-fglrx 3.4.2-1ubuntu1
glx-alternative-mesa 3.4.2-1ubuntu1
glx-alternative-nvidia 3.4.2-1ubuntu1
glx-diversions 3.4.2-1ubuntu1
gmerlin-encoders-ffmpeg 1.2.0-5
gmerlin-encoders-good 1.2.0-5
gmerlin-plugins-avdecoder 1.2.0~dfsg-4
gnat-4.6-base 4.6.4-0ubuntu5
gnome-speech-dectalk 1:0.4.25-5ubuntu2
gnome-speech-ibmtts 1:0.4.25-5ubuntu2
gnome-speech-swift 1:0.4.25-5ubuntu2
gnustep-back0.20 1:0.4.25-5ubuntu2
gnustep-back0.20-art 1:0.4.25-5ubuntu2
gnustep-back0.20-cairo 1:0.4.25-5ubuntu2
gridengine-drmaa1.0 6.2u5-7.3
grilo-plugins-0.1 6.2u5-7.3
gstreamer0.10-alsa 0.10.36-1.1ubuntu2
gstreamer0.10-chromaprint 0.1-3
gstreamer0.10-dvswitch 0.0.1-1
gstreamer0.10-fluendo-mp3 0.10.23.debian-3
gstreamer0.10-gnomevfs 0.10.36-1.1ubuntu2
gstreamer0.10-hplugins 0.2.0-2
gstreamer0.10-packagekit 0.8.12-1ubuntu5
gstreamer0.10-plugins-bad 0.10.23-7.2ubuntu1.1
gstreamer0.10-plugins-base 0.10.36-1.1ubuntu2
gstreamer0.10-plugins-good 0.10.31-3+nmu1ubuntu5
gstreamer0.10-plugins-ugly 0.10.19-2ubuntu5
gstreamer0.10-x 0.10.36-1.1ubuntu2
gtk-im-libthai 0.2.1-4ubuntu1
gtk3-im-libthai 0.2.1-4ubuntu1
guestfsd 1:1.24.5-1
guile-gnutls 3.2.11-2ubuntu1
gupnp-vala 3.2.11-2ubuntu1
gvfs 1.20.3-0ubuntu1
gvfs-common 1.20.3-0ubuntu1
gvfs-daemons 1.20.3-0ubuntu1
gvfs-libs 1.20.3-0ubuntu1
hdfview 2.9-1
ia32-libs-gtk 2.9-1
itcl3 3.4.1-1ubuntu1
itk3 3.3-4ubuntu1
iwidgets4 4.0.1-6
janino 2.7.0-1
jeuclid-cli 3.1.9-3
jeuclid-mathviewer 3.1.9-3
kde-telepathy-data 0.8.1-0ubuntu0.1
kde-workspace-kgreet-plugins 4:4.11.11-0ubuntu0.2
kdegraphics-libs-data 5:78ubuntu13
kdelibs-bin 4:4.13.3-0ubuntu0.2
kdelibs5-data 4:4.13.3-0ubuntu0.2
kdelibs5-plugins 4:4.13.3-0ubuntu0.2
kdepimlibs-kio-plugins 4:4.13.3-0ubuntu0.2
kdevplatform5-libs 4:4.13.3-0ubuntu0.2
klibc-utils 2.0.3-0ubuntu1
kvirc-modules 4:4.2.0-2build1
lesstif2 4:4.2.0-2build1
lib32asound2 4:4.2.0-2build1
lib32bz2-1.0 4:4.2.0-2build1
lib32cr0 4:4.2.0-2build1
lib32ffi5 4:4.2.0-2build1
lib32gcc1 4:4.2.0-2build1
lib32gfortran3 4:4.2.0-2build1
lib32gmp10 4:4.2.0-2build1
lib32gmpxx4 4:4.2.0-2build1
lib32go0 4:4.2.0-2build1
lib32gomp1 4:4.2.0-2build1
lib32itm1 4:4.2.0-2build1
lib32mpfr4 4:4.2.0-2build1
lib32mudflap0 4:4.2.0-2build1
lib32ncurses5 4:4.2.0-2build1
lib32ncursesw5 4:4.2.0-2build1
lib32objc3 4:4.2.0-2build1
lib32objc4 4:4.2.0-2build1
lib32quadmath0 4:4.2.0-2build1
lib32readline5 4:4.2.0-2build1
lib32readline6 4:4.2.0-2build1
lib32stdc++6 4:4.2.0-2build1
lib32tinfo5 4:4.2.0-2build1
lib32v4l-0 4:4.2.0-2build1
lib32z1 4:4.2.0-2build1
lib3ds-1-3 1.3.0-7
lib4store0 1.1.4-2ubuntu2
lib64bz2-1.0 1.0.6-5
lib64expat1 2.1.0-4ubuntu1
lib64ffi5 2.1.0-4ubuntu1
lib64gcc1 1:4.9.1-0ubuntu1
lib64gfortran3 4.8.2-19ubuntu1
lib64gmp10 4.8.2-19ubuntu1
lib64gmpxx4 4.8.2-19ubuntu1
lib64go0 4.7.3-12ubuntu1
lib64gomp1 4.8.2-19ubuntu1
lib64itm1 4.8.2-19ubuntu1
lib64mudflap0 4.8.2-19ubuntu1
lib64ncurses5 5.9+20140118-1ubuntu1
lib64objc3 4.6.4-6ubuntu2
lib64objc4 4.8.2-19ubuntu1
lib64quadmath0 4.8.2-19ubuntu1
lib64readline5 5.2+dfsg-2
lib64readline6 6.3-4ubuntu2
lib64stdc++6 4.8.2-19ubuntu1
lib64tinfo5 5.9+20140118-1ubuntu1
lib64z1 1:1.2.8.dfsg-1ubuntu1
liba52-0.7.4 0.7.4-17
libaa1 1.4p5-41
libaacs0 0.7.0-1
libabiword-2.9 0.7.0-1
libabstract-ruby1.9.1 0.7.0-1
libaccountsservice0 0.6.35-0ubuntu7.1
libace-6.0.3 6.0.3+dfsg-0.2
libace-flreactor-6.0.3 6.0.3+dfsg-0.2
libace-foxreactor-6.0.3 6.0.3+dfsg-0.2
libace-htbp-6.0.3 6.0.3+dfsg-0.2
libace-inet-6.0.3 6.0.3+dfsg-0.2
libace-inet-ssl-6.0.3 6.0.3+dfsg-0.2
libace-qtreactor-6.0.3 6.0.3+dfsg-0.2
libace-rmcast-6.0.3 6.0.3+dfsg-0.2
libace-ssl-6.0.3 6.0.3+dfsg-0.2
libace-tkreactor-6.0.3 6.0.3+dfsg-0.2
libace-tmcast-6.0.3 6.0.3+dfsg-0.2
libace-xtreactor-6.0.3 6.0.3+dfsg-0.2
libacexml-6.0.3 6.0.3+dfsg-0.2
libacl1 2.2.52-1
libacpi0 0.2-4ubuntu1
libacr38u 1.7.11-1
libacr38ucontrol0 1.7.11-1
libacsccid1 1.0.5-1ubuntu1
libadasockets4 1.8.10-2
libaddresses0 0.4.7-1ubuntu4
libaddressview0 0.4.7-1ubuntu4
libadminutil-data 1.1.20-0ubuntu1
libadminutil0 1.1.20-0ubuntu1
libadns1 1.4-2ubuntu1
libadolc2 2.4.1-1
libadplug-2.2.1-0 2.2.1+dfsg3-0.1ubuntu1
libafflib0 3.6.6-1.1
libafrodite-0.12-2 3.6.6-1.1
libafsauthent1 1.6.7-1ubuntu1
libafsrpc1 1.6.7-1ubuntu1
libafterimage0 2.2.12-2
libafterstep1 2.2.12-2
libahven21.0 2.1-4
libaiksaurus-1.2-0c2a 1.2.1+dev-0.12-6.1ubuntu2
libaiksaurus-1.2-data 1.2.1+dev-0.12-6.1ubuntu2
libaiksaurusgtk-1.2-0c2a 1.2.1+dev-0.12-6.1ubuntu2
libaio1 0.3.109-4
libakonadi-calendar4 4:4.13.3-0ubuntu0.2
libakonadi-contact4 4:4.13.3-0ubuntu0.2
libakonadi-kabc4 4:4.13.3-0ubuntu0.2
libakonadi-kcal4 4:4.13.3-0ubuntu0.2
libakonadi-kde4 4:4.13.3-0ubuntu0.2
libakonadi-kmime4 4:4.13.3-0ubuntu0.2
libakonadi-notes4 4:4.13.3-0ubuntu0.2
libakonadiprotocolinternals1 1.12.1-0ubuntu1.1
libalberta2 2.0.1-6
libaldmb1 1:0.9.3-6
libalglib-2.6.0 1:0.9.3-6
libalias7 1:0.9.3-6
libalkimia4 4.3.2-1.1
liballeggl4.4 2:4.4.2-4
liballegro4.4 2:4.4.2-4
liballegro4.4-plugin-alsa 2:4.4.2-4
libalog0.4.1-base 0.4.1-2
libalog0.4.1-full 0.4.1-2
libalsaplayer0 0.99.80-5.1ubuntu1
libalure1 1.2-6
libalut0 1.1.0-3ubuntu1
libamd2.2.0 1.1.0-3ubuntu1
libamu4 6.2+rc20110530-3.2ubuntu1
libanalitza4abi1 6.2+rc20110530-3.2ubuntu1
libanalitzagui4 6.2+rc20110530-3.2ubuntu1
libanet0.1 0.1-3
libanjuta-3-0 2:3.10.2-0ubuntu2
libann0 1.1.2+doc-4.1
libanthy0 9100h-23ubuntu2
libantlr3c-3.2-0 3.2-2ubuntu1
libantlr3c-3.2-0 3.2-2ubuntu1
libantlr3c-antlrdbg-3.2-0 3.2-2ubuntu1
libao-common 1.1.0-2ubuntu2
libao4 1.1.0-2ubuntu2
libaosd-text2 0.2.7-1
libaosd2 0.2.7-1
libapertium3-3.1-0 3.1.0-2
libapm1 3.2.2-14build1
libapol4 3.3.8-3ubuntu1
libapparmor1 2.8.95~2430-0ubuntu5.1
libappindicator1 12.10.1+13.10.20130920-0ubuntu4.1
libappindicator3-1 12.10.1+13.10.20130920-0ubuntu4.1
libapq-postgresql3.2.0 3.2.0-2
libapq3.2.0 3.2.0-1
libapr-memcache0 0.7.0-3
libapr1 1.5.0-1
libapreq2 1.5.0-1
libapron 0.9.10-6
libaprutil1 1.5.3-1
libaprutil1-dbd-freetds 1.5.3-1
libaprutil1-dbd-mysql 1.5.3-1
libaprutil1-dbd-odbc 1.5.3-1
libaprutil1-dbd-pgsql 1.5.3-1
libaprutil1-dbd-sqlite3 1.5.3-1
libaprutil1-ldap 1.5.3-1
libapt-inst1.5 1.0.1ubuntu2.6
libapt-pkg4.12 1.0.1ubuntu2.6
libaqbanking-data 5.3.5beta-2
libaqbanking-plugins-libgwenhywfar60 5.3.5beta-2
libaqbanking34 5.3.5beta-2
libaqbanking34-plugins 5.3.5beta-2
libaqhbci20 5.3.5beta-2
libaqofxconnect7 5.3.5beta-2
libaqsis1 1.8.1-4build1
libarchive12 1.8.1-4build1
libargtable2-0 12-1ubuntu1
libarmadillo3 12-1ubuntu1
libarpack++2c2a 2.3-2ubuntu1
libarpack2 3.1.5-2
libart-2.0-2 2.3.21-2
libasedrive-serial 3.7-5
libasedrive-usb 3.7-5
libasis2010 2010-6
libasm1 0.158-0ubuntu5.2
libasn1-8-heimdal 1.6~git20131207+dfsg-1ubuntu1.1
libasound2 1.0.27.2-3ubuntu7
libasound2 1.0.27.2-3ubuntu7
libasound2-plugin-equal 0.6-6
libasound2-plugins 1.0.27-2ubuntu2
libaspell15 0.60.7~20110707-1ubuntu1
libasprintf0c2 0.18.3.1-1ubuntu3
libass4 0.10.1-3ubuntu1
libassa3.5-5 3.5.1-3ubuntu1
libassimp3 3.0~dfsg-2
libassuan0 2.1.1-1ubuntu1
libast2 0.7-6ubuntu1
libasyncns0 0.8-4ubuntu2
libatasmart4 0.19-3
libatfs1 1.4pl6-11
libatk-bridge2.0-0 2.10.2-2ubuntu1
libatk1.0-0 2.10.0-2ubuntu2
libatkmm-1.6-1 2.22.7-2ubuntu1
libatlas-cpp-0.6-1 0.6.2-3
libatlas3-base 3.10.1-4
libatm1 1:2.5.1-1.5
libatomicparsley0 2.1.4-1ubuntu2
libatspi1.0-0 2.1.4-1ubuntu2
libatspi2.0-0 2.10.2.is.2.10.1-0ubuntu1
libattica0 2.10.2.is.2.10.1-0ubuntu1
libattr1 1:2.4.47-1ubuntu1
libaubio2 1:2.4.47-1ubuntu1
libaudclient2 3.4.3-1
libaudcore1 3.4.3-1
libaudio2 1.9.4-1
libaudiofile1 0.3.6-2
libaudiomask1 1.0-2ubuntu1
libaudit0 1.0-2ubuntu1
libaugeas0 1.2.0-0ubuntu1.1
libaunit3 1.03-8
libautotrace3 0.31.1-16build2
libautounit2 0.20.1-4
libavahi-client3 0.6.31-4ubuntu1
libavahi-common-data 0.6.31-4ubuntu1
libavahi-common3 0.6.31-4ubuntu1
libavahi-compat-libdnssd1 0.6.31-4ubuntu1
libavahi-core7 0.6.31-4ubuntu1
libavahi-glib1 0.6.31-4ubuntu1
libavahi-gobject0 0.6.31-4ubuntu1
libavahi-qt4-1 0.6.31-4ubuntu1
