aegisub-l10n 3.0.4-2build1
calligra-l10n-ca 1:2.8.1-0ubuntu1
calligra-l10n-cavalencia 1:2.8.1-0ubuntu1
calligra-l10n-cs 1:2.8.1-0ubuntu1
calligra-l10n-da 1:2.8.1-0ubuntu1
calligra-l10n-de 1:2.8.1-0ubuntu1
calligra-l10n-el 1:2.8.1-0ubuntu1
calligra-l10n-engb 1:2.8.1-0ubuntu1
calligra-l10n-es 1:2.8.1-0ubuntu1
calligra-l10n-et 1:2.8.1-0ubuntu1
calligra-l10n-fi 1:2.8.1-0ubuntu1
calligra-l10n-fr 1:2.8.1-0ubuntu1
calligra-l10n-hu 1:2.8.1-0ubuntu1
calligra-l10n-it 1:2.8.1-0ubuntu1
calligra-l10n-kk 1:2.8.1-0ubuntu1
calligra-l10n-nb 1:2.8.1-0ubuntu1
calligra-l10n-nds 1:2.8.1-0ubuntu1
calligra-l10n-nl 1:2.8.1-0ubuntu1
calligra-l10n-pl 1:2.8.1-0ubuntu1
calligra-l10n-pt 1:2.8.1-0ubuntu1
calligra-l10n-ptbr 1:2.8.1-0ubuntu1
calligra-l10n-ru 1:2.8.1-0ubuntu1
calligra-l10n-sk 1:2.8.1-0ubuntu1
calligra-l10n-sv 1:2.8.1-0ubuntu1
calligra-l10n-uk 1:2.8.1-0ubuntu1
calligra-l10n-zhcn 1:2.8.1-0ubuntu1
calligra-l10n-zhtw 1:2.8.1-0ubuntu1
childsplay-alphabet-sounds-ca 0.9.1-2
childsplay-alphabet-sounds-de 0.9.1-2
childsplay-alphabet-sounds-es 0.9.1-2
childsplay-alphabet-sounds-fr 0.9.1-2
childsplay-alphabet-sounds-it 0.9.1-2
childsplay-alphabet-sounds-nl 0.9.1-1
childsplay-alphabet-sounds-pt 0.9.1-1
childsplay-alphabet-sounds-ru 0.9.1-1
childsplay-alphabet-sounds-sv 0.9.2-1
chromium-l10n 0.9.2-1
claws-mail-i18n 3.9.3-1ubuntu1
debconf-i18n 1.5.51ubuntu2
famfamfam-flag-gif 0.1-3
famfamfam-flag-png 0.1-3
freemedforms-i18n 0.9.0-2
gcc-4.4-locales 4.4.7-8ubuntu1
gcc-4.6-locales 4.6.4-6ubuntu2
gcc-4.7-locales 4.7.3-12ubuntu1
gutenprint-locales 5.2.10~pre2-0ubuntu2
icedove-l10n-all 5.2.10~pre2-0ubuntu2
icedove-l10n-ar 5.2.10~pre2-0ubuntu2
icedove-l10n-ast 5.2.10~pre2-0ubuntu2
icedove-l10n-be 5.2.10~pre2-0ubuntu2
icedove-l10n-bg 5.2.10~pre2-0ubuntu2
icedove-l10n-bn-bd 5.2.10~pre2-0ubuntu2
icedove-l10n-br 5.2.10~pre2-0ubuntu2
icedove-l10n-ca 5.2.10~pre2-0ubuntu2
icedove-l10n-cs 5.2.10~pre2-0ubuntu2
icedove-l10n-da 5.2.10~pre2-0ubuntu2
icedove-l10n-de 5.2.10~pre2-0ubuntu2
icedove-l10n-el 5.2.10~pre2-0ubuntu2
icedove-l10n-en-gb 5.2.10~pre2-0ubuntu2
icedove-l10n-es-ar 5.2.10~pre2-0ubuntu2
icedove-l10n-es-es 5.2.10~pre2-0ubuntu2
icedove-l10n-et 5.2.10~pre2-0ubuntu2
icedove-l10n-eu 5.2.10~pre2-0ubuntu2
