abook 0.6.0~pre2-3
addresses-goodies-for-gnustep 0.4.7-1ubuntu4
alpine 2.10+dfsg-1
altermime 0.3.10-7
amavisd-milter 1.5.0-5
amavisd-new 1:2.7.1-2ubuntu3
archivemail 0.9.0-1build1
archmbox 4.10.0-2
asmail 2.1-4
bbdb 2.36-3ubuntu1
bbmail 0.8.3-6ubuntu1
biabam 0.9.7-7
biff 1:0.17.pre20000412-5
bley 0.1.5-2
bmf 0.9.4-9build1
bogofilter 1.2.4+dfsg1-2ubuntu1
bogofilter-bdb 1.2.4+dfsg1-2ubuntu1
bogofilter-common 1.2.4+dfsg1-2ubuntu1
bogofilter-sqlite 1.2.4+dfsg1-2ubuntu1
bogofilter-tokyocabinet 1.2.4+dfsg1-2ubuntu1
bsd-mailx 8.1.2-0.20131005cvs-1ubuntu0.14.04.1
bsfilter 1:1.0.19-2
buffy 1.5-2
buffycli 0.7-1
c-sig 3.8-19
calendar-timezones 3.8-19
calendar-timezones 3.8-19
checkgmail 1.13+svn43-3fakesync1
checkpw 1.02-1
chewmail 1.3-1
citadel-client 8.24-1
citadel-mta 8.24-1
citadel-server 8.24-1
citadel-suite 8.24-dfsg-1
clamassassin 1.2.4-1
clamsmtp 1.10-11ubuntu2
claws-mail 3.9.3-1ubuntu1
claws-mail-acpi-notifier 3.9.3-1ubuntu1
claws-mail-address-keeper 3.9.3-1ubuntu1
claws-mail-archiver-plugin 3.9.3-1ubuntu1
claws-mail-attach-remover 3.9.3-1ubuntu1
claws-mail-attach-warner 3.9.3-1ubuntu1
claws-mail-bogofilter 3.9.3-1ubuntu1
claws-mail-bsfilter-plugin 3.9.3-1ubuntu1
claws-mail-clamd-plugin 3.9.3-1ubuntu1
claws-mail-fancy-plugin 3.9.3-1ubuntu1
claws-mail-feeds-reader 3.9.3-1ubuntu1
claws-mail-fetchinfo-plugin 3.9.3-1ubuntu1
claws-mail-gdata-plugin 3.9.3-1ubuntu1
claws-mail-html2-viewer 3.9.3-1ubuntu1
claws-mail-mailmbox-plugin 3.9.3-1ubuntu1
claws-mail-multi-notifier 3.9.3-1ubuntu1
claws-mail-newmail-plugin 3.9.3-1ubuntu1
claws-mail-perl-filter 3.9.3-1ubuntu1
claws-mail-pgpinline 3.9.3-1ubuntu1
claws-mail-pgpmime 3.9.3-1ubuntu1
claws-mail-python-plugin 3.9.3-1ubuntu1
claws-mail-smime-plugin 3.9.3-1ubuntu1
claws-mail-spam-report 3.9.3-1ubuntu1
claws-mail-spamassassin 3.9.3-1ubuntu1
claws-mail-themes 20131119+dfsg-1
claws-mail-tnef-parser 3.9.3-1ubuntu1
claws-mail-tools 3.9.3-1ubuntu1
claws-mail-trayicon 3.9.3-1ubuntu1
claws-mail-vcalendar-plugin 3.9.3-1ubuntu1
clawsker 0.7.10-1
compface 1:1.5.2-5
cone 0.89-1
coolmail 1.3-11
courier-authdaemon 0.63.0-6ubuntu1
courier-authlib 0.63.0-6ubuntu1
courier-authlib-dev 0.63.0-6ubuntu1
courier-authlib-ldap 0.63.0-6ubuntu1
courier-authlib-mysql 0.63.0-6ubuntu1
courier-authlib-pipe 0.63.0-6ubuntu1
courier-authlib-postgresql 0.63.0-6ubuntu1
courier-authlib-userdb 0.63.0-6ubuntu1
courier-base 0.68.2-1ubuntu3
courier-faxmail 0.68.2-1ubuntu3
courier-filter-perl 0.200+ds-2
courier-imap 4.10.0-20120615-1ubuntu3
courier-imap-ssl 4.10.0-20120615-1ubuntu3
courier-ldap 0.68.2-1ubuntu3
courier-maildrop 0.68.2-1ubuntu3
courier-mlm 0.68.2-1ubuntu3
courier-mta 0.68.2-1ubuntu3
courier-mta-ssl 0.68.2-1ubuntu3
courier-pcp 0.68.2-1ubuntu3
courier-pop 0.68.2-1ubuntu3
courier-pop-ssl 0.68.2-1ubuntu3
courier-ssl 0.68.2-1ubuntu3
courier-webadmin 0.68.2-1ubuntu3
couriergrey 0.3.2-5
courierpassd 1.1.2-3
crashmail 0.71-5
crm114 20100106-3
cron-deja-vu 0.4-5
cyrus-admin 2.4.17+caldav~beta9-3
cyrus-admin 2.4.17+caldav~beta9-3
cyrus-admin-2.2 2.4.17+caldav~beta9-3
cyrus-admin-2.2 2.4.17+caldav~beta9-3
cyrus-admin-2.4 2.4.17+caldav~beta9-3
cyrus-clients 2.4.17+caldav~beta9-3
cyrus-clients 2.4.17+caldav~beta9-3
cyrus-clients-2.2 2.4.17+caldav~beta9-3
cyrus-clients-2.2 2.4.17+caldav~beta9-3
cyrus-clients-2.4 2.4.17+caldav~beta9-3
cyrus-common 2.4.17+caldav~beta9-3
cyrus-common-2.2 2.4.17+caldav~beta9-3
cyrus-common-2.2 2.4.17+caldav~beta9-3
cyrus-common-2.4 2.4.17+caldav~beta9-3
cyrus-dev 2.4.17+caldav~beta9-3
cyrus-dev 2.4.17+caldav~beta9-3
cyrus-doc 2.4.17+caldav~beta9-3
cyrus-doc 2.4.17+caldav~beta9-3
cyrus-imapd 2.4.17+caldav~beta9-3
cyrus-imapd 2.4.17+caldav~beta9-3
cyrus-imapd-2.2 2.4.17+caldav~beta9-3
cyrus-imapd-2.2 2.4.17+caldav~beta9-3
cyrus-imapd-2.4 2.4.17+caldav~beta9-3
cyrus-imspd 1.8-3
cyrus-murder 2.4.17+caldav~beta9-3
cyrus-murder 2.4.17+caldav~beta9-3
cyrus-murder-2.2 2.4.17+caldav~beta9-3
cyrus-murder-2.2 2.4.17+caldav~beta9-3
cyrus-murder-2.4 2.4.17+caldav~beta9-3
cyrus-nntpd 2.4.17+caldav~beta9-3
cyrus-nntpd 2.4.17+caldav~beta9-3
cyrus-nntpd-2.2 2.4.17+caldav~beta9-3
cyrus-nntpd-2.2 2.4.17+caldav~beta9-3
cyrus-nntpd-2.4 2.4.17+caldav~beta9-3
cyrus-pop3d 2.4.17+caldav~beta9-3
cyrus-pop3d 2.4.17+caldav~beta9-3
cyrus-pop3d-2.2 2.4.17+caldav~beta9-3
cyrus-pop3d-2.2 2.4.17+caldav~beta9-3
cyrus-pop3d-2.4 2.4.17+caldav~beta9-3
cyrus-replication 2.4.17+caldav~beta9-3
cyrus-replication 2.4.17+caldav~beta9-3
cyrus-replication-2.4 2.4.17+caldav~beta9-3
dkimproxy 1.4.1-3
dot-forward 1:0.71-2
dovecot-antispam 2.0+20130822-2build1
dovecot-core 1:2.2.9-1ubuntu2.1
dovecot-dev 1:2.2.9-1ubuntu2.1
dovecot-gssapi 1:2.2.9-1ubuntu2.1
dovecot-imapd 1:2.2.9-1ubuntu2.1
dovecot-ldap 1:2.2.9-1ubuntu2.1
dovecot-lmtpd 1:2.2.9-1ubuntu2.1
dovecot-managesieved 1:2.2.9-1ubuntu2.1
dovecot-mysql 1:2.2.9-1ubuntu2.1
dovecot-pgsql 1:2.2.9-1ubuntu2.1
dovecot-pop3d 1:2.2.9-1ubuntu2.1
dovecot-sieve 1:2.2.9-1ubuntu2.1
dovecot-solr 1:2.2.9-1ubuntu2.1
dovecot-sqlite 1:2.2.9-1ubuntu2.1
dspam 3.10.2+dfsg-13
dspam-webfrontend 3.10.2+dfsg-13
echolot 2.1.8-8
email-reminder 0.7.7-2
enemies-of-carlotta 1.2.6-4
enigmail 2:1.7.2-0ubuntu0.14.04.1
esmtp 1.2-10
esmtp-run 1.2-10
eweouz 0.8build1
exim4 4.82-3ubuntu2
exim4-base 4.82-3ubuntu2
exim4-config 4.82-3ubuntu2
exim4-daemon-heavy 4.82-3ubuntu2
exim4-daemon-light 4.82-3ubuntu2
exim4-dev 4.82-3ubuntu2
eximon4 4.82-3ubuntu2
exmh 1:2.8.0-4
extsmail 1.4-1
fakepop 11
fastforward 1:0.51-3
fdm 1.7-2
fetchmail 6.3.26-1
fetchmailconf 6.3.26-1
fetchyahoo 2.14.7-1
filter 2.6.3-1
flim 1:1.14.9+0.20120428-3
freepops 0.2.9-8
freepops-updater-fltk 0.2.9-8
freepops-updater-gnome 0.2.9-8
fullquottel 0.1.3-1
fuzzyocr 3.6.0-8
getmail4 4.43.0-1
geximon 0.7.7-2.1
gkrellm-mailwatch 2.4.3-1
gmail-notify 1.6.1.1-3
gnarwl 3.6.dfsg-6.2ubuntu1
gnubiff 2.2.15-3
gotmail 0.9.0-1
graphdefang 2.73-2build1
grepmail 5.3033-6
greylistd 0.8.8
gross 1.0.2-3
gurgitate-mail 1.10.0-1
gyrus 0.3.12-0ubuntu1
hapolicy 1.35-1
hashcash 1.21-1.1
heirloom-mailx 12.5-2
htag 0.0.24-1
icedove 0.0.24-1
icedove-bidiui 0.0.24-1
icedove-dbg 0.0.24-1
icedove-dev 0.0.24-1
icedove-gcontactsync 0.0.24-1
