alice 0.19-1
all-knowing-dns 1.7-1
biber 1.8-1
carton 1.0.12-1
chado-utils 1.23-1
cil 0.07.00-6
cipux-cat-web 3.4.0.3-4.1
cipux-object-tools 3.4.0.5-2build1
cipux-passwd 3.4.0.3-2
cipux-rpc-tools 3.4.0.9-3
cipux-rpcd 3.4.0.9-3
cipux-storage-tools 3.4.0.2-6
cipux-task-tools 3.4.0.7-4build1
cpan-listchanges 0.06-1
cpanminus 1.7001-1
dh-make-perl 0.80-1
eekboek 2.02.04-1
eekboek-db-postgresql 2.02.04-1
eekboek-gui 2.02.04-1
gearman-server 1.11-2
gnuift-perl 0.1.14-12.1
jifty 1.10518+dfsg-3ubuntu1
jirc 1.0-1
kephra 0.4.3.32+dfsg-2
lemonldap-ng 1.2.5-1
libaccessors-perl 1.01-1
libace-perl 1.92-3
libacme-bleach-perl 1.150-1
libacme-brainfck-perl 1.1.1
libacme-damn-perl 0.05-1build1
libacme-eyedrops-perl 1.61-1
libacme-poe-knee-perl 1.10-7
libai-fann-perl 0.10-1build1
libalgorithm-c3-perl 0.08-1
libalgorithm-checkdigits-perl 0.50-1
libalgorithm-combinatorics-perl 0.26-1build1
libalgorithm-dependency-perl 1.110-1
libalgorithm-diff-perl 1.19.02-3
libalgorithm-diff-xs-perl 0.04-2build4
libalgorithm-merge-perl 0.08-2
libalgorithm-munkres-perl 0.08-2
libalgorithm-numerical-sample-perl 2010011201-1
libalgorithm-permute-perl 0.12-1build3
libalias-perl 2.32-9build2
libaliased-perl 0.31-1
libalien-sdl-dev-perl 1.440-4
libalien-sdl-perl 1.440-4
libalien-wxwidgets-perl 0.64+dfsg-2
libalzabo-perl 0.92-3
libamazon-sqs-simple-perl 2.03-1
libany-moose-perl 0.21-1
libany-template-processdir-perl 0.07-1
libanydata-perl 0.11-1
libanyevent-aggressiveidle-perl 0.04-1
libanyevent-callback-perl 0.06-1
libanyevent-dbd-pg-perl 0.03-4
libanyevent-dbi-perl 2.2-1
libanyevent-forkobject-perl 0.09-1
libanyevent-http-perl 2.15-2
libanyevent-httpd-perl 0.93-4
libanyevent-i3-perl 0.15-1
libanyevent-irc-perl 0.97-1
libanyevent-perl 7.070-1
libanyevent-redis-perl 0.24-1
libanyevent-serialize-perl 0.04-1
libanyevent-tools-perl 0.12-1
libanyevent-xmpp-perl 0.54-2
libapache-admin-config-perl 0.94-1.1
libapache-asp-perl 2.62-1
libapache-authenhook-perl 2.00-04+pristine-5build1
libapache-authznetldap-perl 0.07-5
libapache-db-perl 0.14-4build1
libapache-dbi-perl 1.12-1
libapache-dbilogger-perl 0.93-12
libapache-gallery-perl 1.0.2-1
libapache-htgroup-perl 1.23-1
libapache-htpasswd-perl 1.8-1.1
libapache-session-browseable-perl 1.0.2-1
libapache-session-ldap-perl 0.2-1
libapache-session-perl 1.90-1
libapache-session-wrapper-perl 0.34-1
libapache-sessionx-perl 2.01-4
libapache-singleton-perl 0.15-2
libapache2-authcassimple-perl 0.10-2
libapache2-authcookie-perl 3.20-1
libapache2-authenntlm-perl 0.02-5build3
libapache2-reload-perl 0.12-2
libapache2-request-perl 2.13-3ubuntu2
libapache2-sitecontrol-perl 1.05-1
libapp-cache-perl 0.37-2
libapp-cli-perl 0.313-1
libapp-cmd-perl 0.323-1
libapp-control-perl 1.02-2
libapp-daemon-perl 0.20-1
libapp-info-perl 0.57-1
libapp-nopaste-perl 0.96-1
libapp-options-perl 1.12-1
libapp-rad-perl 1.05-1
libapp-repl-perl 0.012-1
libapp-termcast-perl 0.12-1
libapparmor-perl 2.8.95~2430-0ubuntu5.1
libappconfig-perl 1.66-1
libapt-pkg-perl 0.1.29build1
libarch-perl 0.5.2-1
libarchive-any-perl 0.0932-1
libarchive-ar-perl 1.15-1
libarchive-peek-perl 0.35-1
libarchive-tar-wrapper-perl 0.18-1
libarchive-zip-perl 1.30-7
libarray-compare-perl 2.02-1
libarray-diff-perl 0.07-1
libarray-printcols-perl 2.5-1
libarray-refelem-perl 1.00-1.1build3
libarray-unique-perl 0.08-1
libasa-perl 0.02-1
libaspect-perl 1.04-1
libasterisk-agi-perl 1.01-2
libastro-fits-cfitsio-perl 1.10-1
libastro-fits-header-perl 3.07-1
libasync-interrupt-perl 1.10-1build1
libasync-mergepoint-perl 0.04-1
libatombus-perl 1.0405-1
libatompub-perl 0.3.7-2
libaudio-cd-perl 0.05-9build3
libaudio-ecasound-perl 1.01-3
libaudio-file-perl 0.11-3
libaudio-flac-decoder-perl 0.3+dfsg-1build3
libaudio-flac-header-perl 2.4-1build3
libaudio-mixer-perl 0.7-4build1
libaudio-moosic-perl 0.10-2
libaudio-mpd-common-perl 1.120881-1
libaudio-mpd-perl 1.120610-1
libaudio-musepack-perl 1.0.1-1
libaudio-rpld-perl 0.006-1
libaudio-scan-perl 0.93+dfsg-2build2
libaudio-scrobbler-perl 0.01-2.1
libaudio-wav-perl 0.13-1
libaudio-wma-perl 1.3-2
libaudio-xmmsclient-perl 0.8+dfsg-9
libauth-yubikey-decrypter-perl 0.07-1
libauth-yubikey-webclient-perl 3.00-1
libauthcas-perl 1.5-1
libauthen-bitcard-perl 0.90-1
libauthen-captcha-perl 1.023-6
libauthen-cas-client-perl 0.06-1
libauthen-dechpwd-perl 2.006-2build1
libauthen-krb5-admin-perl 0.17-1build1
