agtl 0.8.0.3-1ubuntu1
alembic 0.6.2+ds-1
aws-status 0.2.3-1ubuntu1
bokken 0.2.3-1ubuntu1
bookletimposer 0.2-2
bpython 0.12-1ubuntu1.1
bpython-gtk 0.12-1ubuntu1.1
bpython-urwid 0.12-1ubuntu1.1
bpython3 0.12-1ubuntu1.1
clearsilver-dev 0.10.5-1.3build1
cmdtest 0.10-1
connectomeviewer 2.1.0-1
cpuset 1.5.6-3
creepy 0.1.94-1
cython 0.20.1+git90-g0e6e38e-1ubuntu2
django-ajax-selects 1.3.3-1
django-filter 0.6-3
django-tables 0.13.0-3
docutils-common 0.11-3
dreampie 1.1.1-2
episoder 0.7.0-1
epylog 1.0.7-2
fitscheck 1:3.2-1build2
gamera-gui 3.3.3-2ubuntu1
gastables 0.3-2.1
git-review 1.23-1
glance 1:2014.1.4-0ubuntu2
glance-api 1:2014.1.4-0ubuntu2
glance-common 1:2014.1.4-0ubuntu2
glance-registry 1:2014.1.4-0ubuntu2
gyp 0.1~svn1729-3ubuntu1
idle 2.7.5-5ubuntu3
idle-python2.6 2.7.5-5ubuntu3
idle-python2.7 2.7.6-8
idle-python3.2 2.7.6-8
idle3 3.4.0-0ubuntu2
ipython 1.2.1-2
ipython-notebook 1.2.1-2
ipython-notebook-common 1.2.1-2
ipython-qtconsole 1.2.1-2
ipython3 1.2.1-2
ipython3-notebook 1.2.1-2
ipython3-qtconsole 1.2.1-2
jcc 2.17-1ubuntu1
jython 2.5.3-1
keystone 1:2014.1.4-0ubuntu2
kiki 0.5.6-8fakesync1
krosspython 4:4.13.1-0ubuntu0.1
libgv-python 2.36.0-0ubuntu3.1
libhocr-python 0.10.17-2
libnexus0-python 0.10.17-2
libpam-python 1.0.2-1
libpyside-py3-1.1 1.0.2-1
libpyside1.1 1.0.2-1
libreoffice-script-provider-python 1:4.2.7-0ubuntu2
libsnmp-python 1:4.2.7-0ubuntu2
lio-utils 3.1+git2.fd0b34fd-2
lptools 0.2.0-1
maptransfer 0.3-1
maptransfer-server 0.3-1
mat 0.4.2-1
melange-client 0.4.2-1
mpich2python 2.9.4-1
msgpack-python 2.9.4-1
mumble-django 2.10-2
netio230a-gui 1.0.1-3
nfqueue-bindings-python 0.4-6
obnam 1.6.1-1
omniidl-python 3.6-1
openmpipython 2.9.4-1
openstack-dashboard 1:2014.1.4-0ubuntu2
openstack-dashboard-apache 1:2014.1.4-0ubuntu2
paraview-python 4.0.1-1ubuntu1
pdfminer-data 20110515+dfsg-1
pdfposter 0.6.0-1
pep8 1.4.6-1.1build1
phenny 2~hg28-2
pius 2.0.7-2
planet-venus 0~bzr116-1
pyew 2.0-3
pyflakes 0.8.1-1
pylint 1.1.0-1
pymacs 0.23-1.2
pymetrics 0.8.1-6
pynast 1.2-1
pype 2.9.4-1
pyppd 1.0.2-1
pyqt4-dev-tools 4.10.4+dfsg-1ubuntu1
pyrex-mode 0.9.8.5-2ubuntu3
pyro 1:3.14-1.1
pyro-examples 1:3.14-1.1
pyro-gui 1:3.14-1.1
pyside-tools 0.2.15-1
pyspread 0.2.3-2
python 2.7.5-5ubuntu3
python-aafigure 0.5-4ubuntu1
python-aalib 0.3-1
python-acidobasic 2.2-1
python-acoustid 1.0.0-1
python-actdiag 0.5.1-1
python-adns 1.2.1-5build3
python-adodb 2.10-1.1ubuntu1
python-aeidon 2.10-1.1ubuntu1
python-aiml 0.8.6-2
python-all 2.7.5-5ubuntu3
python-all-dev 2.7.5-5ubuntu3
python-alsaaudio 0.7-1
python-amqplib 1.0.2-1
python-antlr 2.7.7+dfsg-5
python-anyjson 0.3.3-1build1
python-apipkg 1.0-1.1build1
python-appindicator 12.10.1+13.10.20130920-0ubuntu4.1
python-application 1.3.0-1
python-apptools 4.1.0-0ubuntu1
python-apsw 3.8.2-r1-1ubuntu1
python-apt 0.9.3.5ubuntu1
python-apt-common 0.9.3.5ubuntu1
python-apt-dev 0.9.3.5ubuntu1
python-aptdaemon 1.1.1-1ubuntu5.1
python-aptdaemon-gtk 1.1.1-1ubuntu5.1
python-aptdaemon.gtk3widgets 1.1.1-1ubuntu5.1
python-aptdaemon.gtkwidgets 1.1.1-1ubuntu5.1
python-aptdaemon.pkcompat 1.1.1-1ubuntu5.1
python-aptdaemon.test 1.1.1-1ubuntu5.1
python-argparse 1.1.1-1ubuntu5.1
python-argparse 1.1.1-1ubuntu5.1
python-argvalidate 0.9.0-1
python-ase 3.6.0.2515-1.1
python-aspects 1.3-5build1
python-asterisk 0.5.2-1
python-async 0.6.1-1
python-at-spi 0.6.1-1
python-aubio 0.4.0-1
python-audioread 1.0.1-1
python-audit 1:2.3.2-2ubuntu1
python-augeas 0.4.1-2
python-authkit 0.4.3-2
python-authres 0.602-1
python-avahi 0.6.31-4ubuntu1
python-avc 0.8.3-1build1
python-avogadro 1.1.1-0ubuntu2
python-axiom 0.6.0-4
python-babel 1.3+dfsg.1-2ubuntu2
python-ball 1.3+dfsg.1-2ubuntu2
python-ballview 1.3+dfsg.1-2ubuntu2
python-beaker 1.6.3-1.1
