bundler 1.3.5-2ubuntu1
capistrano 2.12.0-1
chef 11.8.2-2
chef-expander 10.12.0-1
chef-server-api 10.12.0-1
chef-solr 10.12.0+dfsg-2
coderay 1.1.0-1
compass-fancy-buttons-plugin 1.1.1~20120313-1
compass-h5bp-plugin 0.1.2-1
compass-layoutgala-plugin 0.2-1
compass-slickmap-plugin 0.5.1.1-2
compass-susy-plugin 1.0.9~dfsg-1
compass-yui-plugin 0~20100724-2
cucumber 1.3.8-1
dpkg-ruby 0.3.8build2
dpkg-ruby 0.3.8build2
eruby 0.3.8build2
gem2deb 0.6.1
imagetooth 2.0.1-1.1
jekyll 0.11.2-1
jruby 1.5.6-7
korundum 4:4.13.0-0ubuntu1
libabstract-ruby 4:4.13.0-0ubuntu1
libabstract-ruby1.8 4:4.13.0-0ubuntu1
libamazon-ruby 4:4.13.0-0ubuntu1
libamrita2-ruby 4:4.13.0-0ubuntu1
libapache-ruby1.8 4:4.13.0-0ubuntu1
libaugeas-ruby 0.5.0-2
libaugeas-ruby1.8 0.5.0-2
libaugeas-ruby1.9.1 0.5.0-2
libbz2-ruby1.8 0.5.0-2
libdns-ruby 0.5.0-2
libdns-ruby 0.5.0-2
libdns-ruby1.8 0.5.0-2
libdns-ruby1.8 0.5.0-2
libdpkg-ruby 0.3.8build2
libdpkg-ruby 0.3.8build2
libdpkg-ruby1.8 0.3.8build2
libdpkg-ruby1.8 0.3.8build2
libdpkg-ruby1.9.1 0.3.8build2
libdpkg-ruby1.9.1 0.3.8build2
liberuby 0.3.8build2
liberuby-dev 0.3.8build2
libescape-ruby 0.2-2
libfam-ruby 0.2-2
libfcgi-ruby1.8 0.9.2.1-1
libfcgi-ruby1.9.1 0.9.2.1-1
libgdal-ruby 0.9.2.1-1
libgdal-ruby1.8 0.9.2.1-1
libgeos-ruby1.8 3.4.2-4ubuntu1
libgettext-activerecord-ruby-common 2.1.0-5
libgettext-activerecord-ruby-common 2.1.0-5
libgv-ruby 2.36.0-0ubuntu3.1
libhdfeos5-ruby 1.2-1
libhdfeos5-ruby1.8 1.2-1
libhdfeos5-ruby1.9.1 1.2-1
libhtml-htmltokenizer-ruby 1.0-3
libhtml-template-ruby 1.0-3
libhtree-ruby1.8 0.8+dfsg-2
libhtree-ruby1.9.1 0.8+dfsg-2
libimlib2-ruby 0.8+dfsg-2
liblangscan-ruby 0.8+dfsg-2
libluabridge-ruby 0.8+dfsg-2
libluabridge-ruby1.8 0.8+dfsg-2
libmapscript-ruby 6.4.1-2
libmapscript-ruby1.8 6.4.1-2
libmapscript-ruby1.9.1 6.4.1-2
