3depict 0.0.15-3
abacas 1.3.1-2
abinit 5.3.4.dfsg-4
abyss 1.3.6-1build1
acedb-other 4.9.39+dfsg.01-5
acedb-other-belvu 4.9.39+dfsg.01-5
acedb-other-dotter 4.9.39+dfsg.01-5
aces3 3.0.6-7build1
achilles 2-8
aeskulap 0.2.2b1-13
aghermann 1.0-3
algotutor 0.8.6-1
alien-hunter 1.7-2
altree 1.3.1-1
altree-examples 1.3.1-1
amap-align 2.2-4
ampliconnoise 1.29-2
ants 1.9.2+svn680.dfsg-4
apbs 1.4-1
astronomical-almanac 5.6-4
autodock 4.2.5.1-3ubuntu1
autodock-getdata 4.2.5.1-3ubuntu1
autodock-test 4.2.5.1-3ubuntu1
autodock-vina 1.1.2-3
autodocktools 1.5.7~rc1~cvs.20130519-1
autogrid 4.2.5.1-3ubuntu1
autogrid-test 4.2.5.1-3ubuntu1
avce00 2.0.0-2
avogadro 1.1.1-0ubuntu2
avogadro-data 1.1.1-0ubuntu2
aweather 0.8.1-1ubuntu1
ballview 0.8.1-1ubuntu1
bauble 0.9.7-2
bedtools 2.17.0-1
bibus 1.5.2-3
biogenesis 0.8-1.1
biomaj 1.2.3-3
biomaj-properties 1.2.3-3
biomaj-watcher 1.2.1-1
bioperl 1.6.923-1
bioperl-run 1.6.9-2
biosig-tools 1.3.0-2build2
biosquid 1.9g+cvs20050121-3
bist 0.5.2-1
bkchem 0.13.0-4
blast2 1:2.2.26.20120620-7
blimps-utils 3.9-1
bodr 10-1
boolector 1.5.118.6b56be4.121013-1
bowtie 1.0.0-5
bowtie-examples 1.0.0-5
bowtie2 2.1.0-2
bowtie2-examples 2.1.0-2
boxshade 3.3.1-8
bppphyview 0.3.0-1
bppsuite 0.8.0-1+build1
bwa 0.8.0-1+build1
cain 1.9-7
cain-examples 1.9-7
cain-solvers 1.9-7
caret 5.6.4~dfsg.1-3ubuntu3
cba 0.3.6-4
cbflib-bin 0.9.2.2-1
cbmc 4.5-2ubuntu2
cclib 1.1-1
cclib-data 1.1-1
