a2jmidid 8~dfsg0-1
abcde 2.5.4-1
abcmidi 20070318-3
abcmidi-yaps 20070318-3
abgate 1.1.7-1
abraca 0.7.0-1
aconnectgui 0.9.0rc2-1-9
acoustid-fingerprinter 0.6-1build1
adplay 1.6-1.1ubuntu1
aeolus 0.9.0-1
aj-snapshot 0.9.6-1
aliki 0.3.0-1
alsa-base 1.0.25+dfsg-0ubuntu4
alsa-firmware-loaders 1.0.27-2ubuntu3
alsa-oss 1.0.25-1ubuntu1
alsa-tools 1.0.27-2ubuntu3
alsa-tools-gui 1.0.27-2ubuntu3
alsa-utils 1.0.27.2-1ubuntu2
alsamixergui 0.9.0rc2-1-9.1
alsaplayer-alsa 0.99.80-5.1ubuntu1
alsaplayer-common 0.99.80-5.1ubuntu1
alsaplayer-daemon 0.99.80-5.1ubuntu1
alsaplayer-esd 0.99.80-5.1ubuntu1
alsaplayer-gtk 0.99.80-5.1ubuntu1
alsaplayer-jack 0.99.80-5.1ubuntu1
alsaplayer-nas 0.99.80-5.1ubuntu1
alsaplayer-oss 0.99.80-5.1ubuntu1
alsaplayer-text 0.99.80-5.1ubuntu1
alsaplayer-xosd 0.99.80-5.1ubuntu1
alsoft-conf 1.4.3-1
amarok 2:2.8.0-0ubuntu3
amarok-common 2:2.8.0-0ubuntu3
amb-plugins 0.8.1-4
ambdec 0.5.1-3
ample 0.5.7-7
ams 2.0.1-5
amsynth 1.3.2-2
aqualung 0.9~beta11-2
ardour 1:2.8.16+git20131003-1
ardour 1:2.8.16+git20131003-1
ardour-altivec 1:2.8.16+git20131003-1
ardour-i686 1:2.8.16+git20131003-1
arename 4.0-2
ario 1.5.1-1.1
ario-common 1.5.1-1.1
ascd 0.13.2-5
ascdc 0.3-15
asmixer 0.5-14
asunder 2.2-1
aubio-tools 0.4.0-1
audacious 3.4.3-1
audacious-dumb 0.82-1
audacious-plugins 3.4.3-2
audacious-plugins-data 3.4.3-2
audacity 2.0.5-1ubuntu3.2
audacity-data 2.0.5-1ubuntu3.2
audiolink 0.05-1.2
audiopreview 0.6-2
audtty 0.1.12-4
aumix 2.9.1-2
aumix 2.9.1-2
aumix-common 2.9.1-2
aumix-gtk 2.9.1-2
autotalent 0.2-3
awesfx 0.5.1a-1.1
azr3-jack 1.2.3-2
banshee 2.9.0+really2.6.2-2ubuntu2.1
banshee-extension-alarm 2.9.0+really2.6.2-2ubuntu2.1
banshee-extension-albumartwriter 2.9.0+really2.6.2-2ubuntu2.1
banshee-extension-ampache 2.9.0+really2.6.2-2ubuntu2.1
banshee-extension-coverwallpaper 2.9.0+really2.6.2-2ubuntu2.1
banshee-extension-duplicatesongdetector 2.9.0+really2.6.2-2ubuntu2.1
banshee-extension-foldersync 2.9.0+really2.6.2-2ubuntu2.1
banshee-extension-jamendo 2.9.0+really2.6.2-2ubuntu2.1
banshee-extension-karaoke 2.9.0+really2.6.2-2ubuntu2.1
banshee-extension-lastfmfingerprint 2.9.0+really2.6.2-2ubuntu2.1
banshee-extension-lirc 2.9.0+really2.6.2-2ubuntu2.1
banshee-extension-lyrics 2.9.0+really2.6.2-2ubuntu2.1
