a2ps 1:4.14-1.3
abcm2ps 6.6.17-1ubuntu1
acheck 0.5.1+nmu1
acheck-rules 0.3.1+nmu1
acheck-rules 0.3.1+nmu1
acheck-rules-fr 0.6
ack 0.6
aephea 12-248-2
aewan 1.0.01-3
aft 2:5.098-2
agrep 4.17-9
aiksaurus 1.2.1+dev-0.12-6.1ubuntu2
antiword 0.37-9
apsfilter 7.2.6-1.3
apvlv 0.1.1-1.2
asciidoc 8.6.9-2ubuntu1
aspell 0.60.7~20110707-1ubuntu1
aspell-am 0.03-1-5
aspell-ar 0.0.20060329-5
aspell-ar-large 1.2-0-3
aspell-bg 4.1-3ubuntu1
aspell-bn 1:0.01.1-1-2
aspell-br 0.50-2-6
aspell-ca 0.20111230b-4
aspell-cs 0.51.0-1
aspell-cy 0.50-3-6
aspell-da 1.6.25-1.1
aspell-de 20120607-1
aspell-de-alt 1:2-28
aspell-el 0.50-3-6
aspell-en 7.1-0-1
aspell-eo 2.1.2000.02.25-45
aspell-eo-cx7 2.1.2000.02.25-45
aspell-es 1.11-4
aspell-et 1:20030606-20
aspell-eu-es 0.4.20081029-6
aspell-fa 0.11-0-3
aspell-fi 0.11-0-3
aspell-fo 0.4.2-1
aspell-fr 0.50-3-7
aspell-ga 0.50-4-4
aspell-gl-minimos 0.5-35
aspell-gu 0.03-0-8
aspell-he 1.0-0-6
aspell-hi 0.02-5
aspell-hr 0.51-4
aspell-hsb 0.02.0-1
aspell-hu 0.99.4.2-0-3
aspell-hy 0.10.0-0-3
aspell-is 0.51-0-4
aspell-it 2.4-20070901-0-2
aspell-kk 0.2-1
aspell-kn 0.01-2-2
aspell-ku 0.20-0-6
aspell-lt 1.2.1-4
aspell-lv 0.9.6-1
aspell-ml 0.04-1-5
aspell-mr 0.10-8
aspell-nl 1:2.10-1
aspell-no 2.0.10-5.1
aspell-or 0.03-1-5
aspell-pa 0.01-1-4
aspell-pl 20110901-1
aspell-pt 1.5
aspell-pt-br 20131030-1
aspell-pt-pt 20091013-4
aspell-ro 3.3.9-1
aspell-ru 0.99g5-18
aspell-sk 2.01-2-0ubuntu1
aspell-sl 0.60-3
aspell-sv 0.51-0-3
aspell-ta 20040424-1-1
aspell-te 0.01-2-5
aspell-tl 0.4-0-10
aspell-uk 1.6.5-2
aspell-uz 0.6.0-1
atp 1.2-11ubuntu1
bgoffice-computer-terms 0.0.200909080118-1ubuntu1
bgoffice-dict-downloader 0.09
bibutils 4.12-5
bidiv 1.5-4
bomstrip 9-7
bookview 3.2.1-1.1
boxes 1.1.1-3
brazilian-conjugate 3.0~beta4-15
buthead 1.1-3
calibre 1.25.0+dfsg-1build1
calibre-bin 1.25.0+dfsg-1build1
calligrawords 1:2.8.1-1-0ubuntu3
calligrawords-data 1:2.8.1-1-0ubuntu3
catdoc 0.94.4-1.1
cb2bib 1.4.9-1ubuntu1
cbedic 4.0-3
cconv 0.6.2-1ubuntu1
cd-circleprint 0.7.0-4
cdcover 0.9.1-11
chm2pdf 0.9.1-1.1ubuntu5
chordii 4.3+repack-2
cjet 4.3+repack-2
codegroup 19981025-6
collatinus 10.0-6
colordiff 1.0.13-1
confget 1.03-1
cstocs 1:3.42-3
cupsddk 1:3.42-3
cupsddk 1:3.42-3
dacco-common 0.9+20071227-5
dadadodo 1.04-4
dancer-xml 0.8.2.1-3ubuntu2
darnwdl 0.5-2
datapm 0.10-1.1
dav-text 0.8.5-5ubuntu1
dawgdic-tools 0.4.5-2
dbacl 1.12-2.1
dbar 0.0.20100524-3
