2vcard 0.5-3
4store 1.1.4-2ubuntu2
9base 1:6-6
abtransfers 0.0.4.1-1
ack-grep 2.12-1
acl 2.2.52-1
acpi 1.7-1
acpitail 0.1-4
acpitool 0.5.1-3
actionaz 3.7.0-1
activity-log-manager 0.9.7-0ubuntu14.1
adplug-utils 2.2.1+dfsg3-0.1ubuntu1
advancecomp 1.18-1
aesfix 1.0.1-2
aeskeyfind 1:1.0-1
aespipe 2.4c-1
afbinit 2.4c-1
afflib-tools 3.6.6-1.1
afuse 0.4.1-1
agedu 9723-1
aha 0.4.6.1-1
akonadiconsole 4:4.13.3-0ubuntu0.1
alacarte 3.10.0-1ubuntu2
alarm-clock 1.2.5-1.2ubuntu1
alt-key 2.2.5-2
alure-utils 1.2-6
amanda-client 1:3.3.3-2ubuntu1
amanda-common 1:3.3.3-2ubuntu1
amanda-server 1:3.3.3-2ubuntu1
amarok-utils 2:2.8.0-0ubuntu3
amideco 0.31e-3.1
amule-emc 0.5.2-3
anthy 9100h-23ubuntu2
anthy-common 9100h-23ubuntu2
anypaper 2.4-1ubuntu1
anyremote 6.3.2-1
anyremote-data 6.3.2-1
apparix 07-261-1
apt-listchanges 2.85.13ubuntu2
apt-rdepends 1.3.0-3
aptfs 1:0+git201108031956-38fb8dc-2
aqbanking-tools 5.3.5beta-2
ara 1.0.31build1
arc 5.21q-1
archivemount 0.8.1-1
archmage 1:0.2.4-3
arj 3.10.22-11
ark 4:4.13.3-0ubuntu0.1
armada-backlight 1.1-8
artha 1.0.3-1ubuntu1
ascii 3.14-1
asciio 1.02.71-1
assimp-utils 3.0~dfsg-2
assogiate 3.0~dfsg-2
asused 3.72-11
athena-jot 9.0-5ubuntu1
atool 0.39.0-2
attr 1:2.4.47-1ubuntu1
audiofile-tools 0.3.6-2
authbind 2.1.1
autodir 0.99.9-10
autofs 5.0.7-3ubuntu3.1
autofs-hesiod 5.0.7-3ubuntu3.1
autofs-ldap 5.0.7-3ubuntu3.1
autokey-common 0.90.4-1
autorenamer 0.3-1
autotrash 0.1.5-1
avahi-ui-utils 0.6.31-4ubuntu1
avfs 1.0.1-2
avinfo 1.0.a15+20090102-1
awardeco 0.2-3.1
away 0.9.5+ds-0+nmu2
b43-fwcutter 1:018-2
babiloo 2.0.11-1
backintime-common 1.0.34-0.1
backintime-gnome 1.0.34-0.1
backintime-kde 1.0.34-0.1
backuppc 3.3.0-1ubuntu1
