adacgi1 1.6-17
adminer 3.3.3-1
adzapper 20090301.dfsg.1-0.2
ajaxterm 0.10-12ubuntu1
akregator 4:4.13.3-0ubuntu0.1
album 4.10-2
album-data 4.05-3
ampache-themes 3.6.1-2
analog 2:6.0-20ubuntu1
anon-proxy 00.05.38+20081230-2.3
anyremote2html 00.05.38+20081230-2.3
aolserver4-daemon 4.5.1-16
apcupsd-cgi 3.14.10-2build1
arora 0.11.0-0ubuntu1
asp.net-examples 3.0.11-1
aswiki 3.0.11-1
awffull 3.10.2-4
awstats 7.2+dfsg-1
axel 2.4-1
axel-kapt 2.4-1
bins 1.1.29-16
bisho 0.27.2+git20111122.9e68ef3d-2
blazeblogger 1.2.0-3
blogilo 4:4.13.3-0ubuntu0.1
blosxom 2.1.2-1
bluefish 2.2.5-1
bluefish-data 2.2.5-1
bluefish-plugins 2.2.5-1
browser-history 2.8-16
browser-plugin-packagekit 0.8.12-1ubuntu5
buxon 0.0.5-4
cacti 0.8.8b+dfsg-5
cacti-spine 0.8.8b-1
cadaver 0.23.3-2ubuntu1
cakephp 1.3.15-1
cakephp-instaweb 0.5-1
cakephp-scripts 1.3.15-1
calendar-google-provider 1.3.15-1
camping 2.1.532-1
cgi-mapserver 6.4.1-2
cgiemail 1.6-37
cgilib 0.6-1
chalow 1.0-3
checkbot 1.80-3
chimera2 2.0a19-8
chromium 2.0a19-8
chromium-browser 41.0.2272.76-0ubuntu0.14.04.1.1076
chromium-browser-inspector 41.0.2272.76-0ubuntu0.14.04.1.1076
chromium-inspector 41.0.2272.76-0ubuntu0.14.04.1.1076
chronicle 4.6-2
ciderwebmail 1.04-1
citadel-webcit 8.24-dfsg-1
ckeditor 4.3.0+dfsg0-0.1
collabtive 1.2-2
conkeror 1.2-2
conkeror-spawn-process-helper 1.2-2
cronolog 1.6.2+rpk-1ubuntu1
cthumb 4.2-3
curl 7.35.0-1ubuntu2.3
cutycapt 0.0~svn6-3
cvs2html 0.0~svn6-3
d-push 2.0.7-1
dacs 1.4.28b-3ubuntu1
dacs-examples 1.4.28b-3ubuntu1
dansguardian 2.10.1.1-5
davical 1.1.1-1
dcmtk-www 3.6.0-15
debian-timeline 29
dh-make-drupal 1.7-1
dh-make-php 0.4.0
dh-xsp 3.0.11-1
dicoweb 2.2-5
didiwiki 0.5-11
dillo 3.0.3-6
djview-plugin 4.9-4ubuntu3
djvulibre-plugin 4.9-4ubuntu3
djvulibre-plugin 4.9-4ubuntu3
djvuserve 3.5.25.4-3
dnshistory 1.3-2build2
doc-central 1.8.3
docvert 1.8.3
docvert-libreoffice 1.8.3
docvert-openoffice.org 1.8.3
dokuwiki 0.0.20131208-1
dotlrn 2.5.0+dfsg-10
drraw 2.2b2-4
drupal7 7.26-1ubuntu0.1
dtc-xen 0.5.17-1
dtc-xen-firewall 0.5.17-1
dwb 20130503hg-2ubuntu1
dynalogin-client-php 1.0.0-3ubuntu1
dyndns 2012.0112-1
elinks 0.12~pre6-4ubuntu1
elinks-data 0.12~pre6-4ubuntu1
elinks-lite 0.12~pre6-4ubuntu1
elserv 0.4.0+0.20011203cvs-17.1
eot-utils 1.1-1
extplorer 2.1.0b6+dfsg.3-4
ezmlm-browse 0.10-3
fcgiwrap 1.1.0-2
fckeditor 1:2.6.6-3
flashplugin-nonfree 1:2.6.6-3
florence 0.6.0-2
fookebox 0.6.1-2
foxyproxy 0.6.1-2
freetable 2.3-4.1
frontaccounting 2.2.10-3.1
ftpcopy 0.6.7-3
funkload 1.16.1-4
fusedav 0.2-3.1
gallery 0.2-3.1
gcap 0.1.1-1
get-flash-videos 1.25~git2012.06.27-2
glpi 0.84.3+dfsg.1-1
gosa 2.7.4+reloaded1-1
gosa-desktop 2.7.4+reloaded1-1
gosa-dev 2.7.4+reloaded1-1
gosa-help-de 2.7.4+reloaded1-1
gosa-help-en 2.7.4+reloaded1-1
gosa-help-fr 2.7.4+reloaded1-1
gosa-help-nl 2.7.4+reloaded1-1
gosa-plugin-connectivity 2.7.4+reloaded1-1
gosa-plugin-dhcp 2.7.4+reloaded1-1
gosa-plugin-dhcp-schema 2.7.4+reloaded1-1
gosa-plugin-dns 2.7.4+reloaded1-1
gosa-plugin-dns-schema 2.7.4+reloaded1-1
gosa-plugin-fai 2.7.4+reloaded1-1
gosa-plugin-fai-schema 2.7.4+reloaded1-1
gosa-plugin-gofax 2.7.4+reloaded1-1
gosa-plugin-gofon 2.7.4+reloaded1-1
gosa-plugin-goto 2.7.4+reloaded1-1
gosa-plugin-kolab 2.7.4+reloaded1-1
gosa-plugin-kolab-schema 2.7.4+reloaded1-1
gosa-plugin-ldapmanager 2.7.4+reloaded1-1
gosa-plugin-mail 2.7.4+reloaded1-1
gosa-plugin-mit-krb5 2.7.4+reloaded1-1
gosa-plugin-mit-krb5-schema 2.7.4+reloaded1-1
gosa-plugin-nagios 2.7.4+reloaded1-1
gosa-plugin-nagios-schema 2.7.4+reloaded1-1
gosa-plugin-netatalk 2.7.4+reloaded1-1
gosa-plugin-opengroupware 2.7.4+reloaded1-1
gosa-plugin-openxchange 2.7.4+reloaded1-1
gosa-plugin-openxchange-schema 2.7.4+reloaded1-1
gosa-plugin-opsi 2.7.4+reloaded1-1
gosa-plugin-phpgw 2.7.4+reloaded1-1
gosa-plugin-phpgw-schema 2.7.4+reloaded1-1
gosa-plugin-phpscheduleit 2.7.4+reloaded1-1
gosa-plugin-phpscheduleit-schema 2.7.4+reloaded1-1
gosa-plugin-pptp 2.7.4+reloaded1-1
gosa-plugin-pptp-schema 2.7.4+reloaded1-1
