9menu 1.8-6
9wm 1.2-9
aewm 1.3.12-3
aewm++ 1.1.2-5
aewm++-goodies 1.0-9ubuntu1
afterstep 2.2.12-2
afterstep-data 2.2.12-2
alevt 1:1.6.2-5
alevt 1:1.6.2-5
alltray 0.71b-1
amd-clinfo 0.71b-1
amd-libopencl1 0.71b-1
amd-opencl-dev 0.71b-1
amd-opencl-icd 0.71b-1
amiwm 0.20.48-8
amoeba 1.1-26
amoeba-data 1.1-6
amora-applet 1.2~svn699-1
amora-cli 1.2~svn699-1
aosd-cat 0.2.7-1
app-install-data 14.04.1
arandr 0.1.7.1-1
asclock 2.0.12-24
asclock-themes 2.0.12-24
asmix 1.5-4.1
asmon 0.71-5
aterm 1.0.1-8
aterm-ml 1.0.1-8
autocutsel 0.9.1-2
awesome 3.4.15-1ubuntu1
awesome-extra 2012061101
bandwidthcalc 0.2-1
bbpager 0.4.7-3ubuntu2
bbrun 1.6-6
bbtime 0.1.5-12ubuntu1
bdfresize 1.5-8
betaradio 1.5-1ubuntu1
big-cursor 3.8
blackbox 0.70.1-20ubuntu2
blackbox-themes 0.5
blueman 1.23-git201403102151-1ubuntu1
bluetile 0.6-3
boats 201307-1
boinc-manager 7.2.42+dfsg-1
bubblefishymon 0.6.4-5.1
buici-clock 0.4.9.2
cairo-clock 0.3.4-2ubuntu2
cairo-dock 3.3.99.beta1.2.really.3.3.2-0ubuntu2.1
cairo-dock-alsamixer-plug-in 3.3.99.beta1.2.really.3.3.2-0ubuntu2.1
cairo-dock-animated-icons-plug-in 3.3.99.beta1.2.really.3.3.2-0ubuntu2.1
cairo-dock-cairo-penguin-plug-in 3.3.99.beta1.2.really.3.3.2-0ubuntu2.1
cairo-dock-clipper-plug-in 3.3.99.beta1.2.really.3.3.2-0ubuntu2.1
cairo-dock-clock-plug-in 3.3.99.beta1.2.really.3.3.2-0ubuntu2.1
cairo-dock-core 3.3.99.beta1.2.really.3.3.2-0ubuntu2.1
cairo-dock-dbus-plug-in 3.3.99.beta1.2.really.3.3.2-0ubuntu2.1
cairo-dock-desklet-rendering-plug-in 3.3.99.beta1.2.really.3.3.2-0ubuntu2.1
cairo-dock-dialog-rendering-plug-in 3.3.99.beta1.2.really.3.3.2-0ubuntu2.1
cairo-dock-dnd2share-plug-in 3.3.99.beta1.2.really.3.3.2-0ubuntu2.1
cairo-dock-drop-indicator-plug-in 3.3.99.beta1.2.really.3.3.2-0ubuntu2.1
cairo-dock-dustbin-plug-in 3.3.99.beta1.2.really.3.3.2-0ubuntu2.1
cairo-dock-folders-plug-in 3.3.99.beta1.2.really.3.3.2-0ubuntu2.1
cairo-dock-gmenu-plug-in 3.3.99.beta1.2.really.3.3.2-0ubuntu2.1
cairo-dock-gnome-integration-plug-in 3.3.99.beta1.2.really.3.3.2-0ubuntu2.1
cairo-dock-icon-effect-plug-in 3.3.99.beta1.2.really.3.3.2-0ubuntu2.1
cairo-dock-illusion-plug-in 3.3.99.beta1.2.really.3.3.2-0ubuntu2.1
cairo-dock-impulse-plug-in 3.3.99.beta1.2.really.3.3.2-0ubuntu2.1
cairo-dock-kde-integration-plug-in 3.3.99.beta1.2.really.3.3.2-0ubuntu2.1
cairo-dock-keyboard-indicator-plug-in 3.3.99.beta1.2.really.3.3.2-0ubuntu2.1
